strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
avwap_252_breakout,atr_trail_1x,long_ge_11d,4,0.0,-3.372,-13.488
avwap_252_breakout,atr_trail_1x,medium_4_10d,1,0.0,-1.8941,-1.8941
avwap_252_breakout,atr_trail_2x,long_ge_11d,4,0.5,2.78885,11.1554
avwap_252_breakout,atr_trail_2x,medium_4_10d,1,0.0,-3.7882,-3.7882
avwap_252_breakout,break_even_at_1r,long_ge_11d,4,0.0,-4.479775,-17.9191
avwap_252_breakout,break_even_at_1r,medium_4_10d,1,0.0,-1.8941,-1.8941
avwap_252_breakout,breakeven_plus_trail,long_ge_11d,4,0.5,5.3452,21.3808
avwap_252_breakout,breakeven_plus_trail,medium_4_10d,1,0.0,-3.7882,-3.7882
avwap_252_breakout,class_time_stop,long_ge_11d,4,0.75,3.9780249999999997,15.912099999999999
avwap_252_breakout,class_time_stop,medium_4_10d,1,0.0,-10.0752,-10.0752
avwap_252_breakout,earnings_blackout,long_ge_11d,4,0.0,-38.706900000000005,-154.82760000000002
avwap_252_breakout,earnings_blackout,medium_4_10d,1,0.0,-42.3541,-42.3541
avwap_252_breakout,fixed_4r_2r,long_ge_11d,4,0.75,12.763850000000001,51.055400000000006
avwap_252_breakout,fixed_4r_2r,medium_4_10d,1,0.0,-3.7882,-3.7882
avwap_252_breakout,hybrid_50pct_target,long_ge_11d,4,1.0,12.398025,49.5921
avwap_252_breakout,hybrid_50pct_target,medium_4_10d,1,0.0,-10.0,-10.0
avwap_252_breakout,ma_exit_ema9,long_ge_11d,4,0.0,-4.970400000000001,-19.881600000000002
avwap_252_breakout,ma_exit_ema9,medium_4_10d,1,0.0,-2.5286,-2.5286
avwap_252_breakout,next_pivot_target,long_ge_11d,4,0.75,2.4373500000000003,9.749400000000001
avwap_252_breakout,next_pivot_target,medium_4_10d,1,0.0,-10.0,-10.0
avwap_252_breakout,r_multiple_2r,long_ge_11d,4,0.0,-5.570825,-22.2833
avwap_252_breakout,r_multiple_2r,medium_4_10d,1,0.0,-1.8941,-1.8941
avwap_252_breakout,r_multiple_3r,long_ge_11d,4,0.0,-5.570825,-22.2833
avwap_252_breakout,r_multiple_3r,medium_4_10d,1,0.0,-1.8941,-1.8941
avwap_252_breakout,regime_flip,long_ge_11d,4,0.5,3.397625,13.5905
avwap_252_breakout,regime_flip,medium_4_10d,1,0.0,-8.5539,-8.5539
avwap_252_breakout,time_stop_10d,long_ge_11d,4,1.0,7.5182,30.0728
avwap_252_breakout,time_stop_10d,medium_4_10d,1,0.0,-7.8511,-7.8511
avwap_252_breakout,time_stop_20d,long_ge_11d,4,0.5,3.397625,13.5905
avwap_252_breakout,time_stop_20d,medium_4_10d,1,0.0,-8.5539,-8.5539
avwap_252_breakout,trailing_10pct,long_ge_11d,4,0.25,-0.4449250000000001,-1.7797000000000005
avwap_252_breakout,trailing_10pct,medium_4_10d,1,0.0,-10.0,-10.0
avwap_252_breakout,trailing_15pct,long_ge_11d,4,0.75,5.996225,23.9849
avwap_252_breakout,trailing_15pct,medium_4_10d,1,0.0,-5.3037,-5.3037
avwap_252_breakout,trailing_5pct,long_ge_11d,4,0.0,-3.09645,-12.3858
avwap_252_breakout,trailing_5pct,medium_4_10d,1,0.0,-5.0,-5.0
avwap_50_reclaim,atr_trail_1x,long_ge_11d,19,0.3157894736842105,-1.3530052631578948,-25.7071
avwap_50_reclaim,atr_trail_1x,medium_4_10d,5,0.4,-1.1273600000000001,-5.636800000000001
avwap_50_reclaim,atr_trail_1x,short_le_3d,5,0.0,-0.42338000000000003,-2.1169000000000002
avwap_50_reclaim,atr_trail_2x,long_ge_11d,19,0.3684210526315789,0.47951052631578933,9.110699999999998
avwap_50_reclaim,atr_trail_2x,medium_4_10d,5,0.4,2.4685800000000016,12.342900000000007
avwap_50_reclaim,atr_trail_2x,short_le_3d,5,0.0,-6.04696,-30.2348
avwap_50_reclaim,break_even_at_1r,long_ge_11d,19,0.05263157894736842,-1.3073052631578947,-24.8388
avwap_50_reclaim,break_even_at_1r,medium_4_10d,5,0.2,-3.3594,-16.797
avwap_50_reclaim,break_even_at_1r,short_le_3d,5,0.0,-0.383,-1.915
avwap_50_reclaim,breakeven_plus_trail,long_ge_11d,19,0.3684210526315789,0.8223368421052631,15.6244
avwap_50_reclaim,breakeven_plus_trail,medium_4_10d,5,0.4,0.30447999999999986,1.5223999999999993
avwap_50_reclaim,breakeven_plus_trail,short_le_3d,5,0.4,1.53112,7.6556
avwap_50_reclaim,class_time_stop,long_ge_11d,19,0.631578947368421,2.3295263157894737,44.261
avwap_50_reclaim,class_time_stop,medium_4_10d,5,0.6,4.487900000000001,22.439500000000002
avwap_50_reclaim,class_time_stop,short_le_3d,5,0.0,-8.356860000000001,-41.7843
avwap_50_reclaim,earnings_blackout,long_ge_11d,19,0.3157894736842105,-32.93398421052632,-625.7457
avwap_50_reclaim,earnings_blackout,medium_4_10d,5,0.2,-323.07196,-1615.3598
avwap_50_reclaim,earnings_blackout,short_le_3d,5,0.2,-155.20010000000002,-776.0005000000001
avwap_50_reclaim,fixed_4r_2r,long_ge_11d,19,0.2631578947368421,-0.6268526315789478,-11.910200000000009
avwap_50_reclaim,fixed_4r_2r,medium_4_10d,5,0.4,-2.3513800000000002,-11.756900000000002
avwap_50_reclaim,fixed_4r_2r,short_le_3d,5,0.0,-13.39812,-66.9906
avwap_50_reclaim,hybrid_50pct_target,long_ge_11d,19,0.7894736842105263,-12.804063157894738,-243.27720000000002
avwap_50_reclaim,hybrid_50pct_target,medium_4_10d,5,0.8,-9.101480000000002,-45.50740000000001
avwap_50_reclaim,hybrid_50pct_target,short_le_3d,5,0.2,-156.04184,-780.2092
avwap_50_reclaim,ma_exit_ema9,long_ge_11d,19,0.3157894736842105,0.4444526315789473,8.4446
avwap_50_reclaim,ma_exit_ema9,medium_4_10d,5,0.4,-1.52284,-7.6142
avwap_50_reclaim,ma_exit_ema9,short_le_3d,5,0.0,-3.7945,-18.9725
avwap_50_reclaim,next_pivot_target,long_ge_11d,19,0.8421052631578947,3.264247368421053,62.020700000000005
avwap_50_reclaim,next_pivot_target,medium_4_10d,5,0.8,1.37362,6.8681
avwap_50_reclaim,next_pivot_target,short_le_3d,5,1.0,4.93724,24.6862
avwap_50_reclaim,r_multiple_2r,long_ge_11d,19,0.3157894736842105,0.24956315789473682,4.7417
avwap_50_reclaim,r_multiple_2r,medium_4_10d,5,0.4,1.0010999999999997,5.005499999999998
avwap_50_reclaim,r_multiple_2r,short_le_3d,5,0.2,-0.5998799999999996,-2.9993999999999983
avwap_50_reclaim,r_multiple_3r,long_ge_11d,19,0.21052631578947367,0.509021052631579,9.671400000000002
avwap_50_reclaim,r_multiple_3r,medium_4_10d,5,0.4,0.88324,4.4162
avwap_50_reclaim,r_multiple_3r,short_le_3d,5,0.0,-6.69906,-33.4953
avwap_50_reclaim,regime_flip,long_ge_11d,19,0.42105263157894735,1.1371421052631576,21.605699999999995
avwap_50_reclaim,regime_flip,medium_4_10d,5,0.4,-0.011220000000000141,-0.056100000000000705
avwap_50_reclaim,regime_flip,short_le_3d,5,0.2,-1.8989,-9.4945
avwap_50_reclaim,time_stop_10d,long_ge_11d,19,0.7368421052631579,2.4863263157894737,47.2402
avwap_50_reclaim,time_stop_10d,medium_4_10d,5,0.4,-1.9314,-9.657
avwap_50_reclaim,time_stop_10d,short_le_3d,5,0.2,-1.5276200000000002,-7.6381000000000006
avwap_50_reclaim,time_stop_20d,long_ge_11d,19,0.42105263157894735,1.1371421052631576,21.605699999999995
avwap_50_reclaim,time_stop_20d,medium_4_10d,5,0.4,-0.011220000000000141,-0.056100000000000705
avwap_50_reclaim,time_stop_20d,short_le_3d,5,0.2,-1.8989,-9.4945
avwap_50_reclaim,trailing_10pct,long_ge_11d,19,0.42105263157894735,-1.4338473684210526,-27.243100000000002
avwap_50_reclaim,trailing_10pct,medium_4_10d,5,0.4,-4.2707999999999995,-21.354
avwap_50_reclaim,trailing_10pct,short_le_3d,5,0.0,-4.340300000000001,-21.701500000000003
avwap_50_reclaim,trailing_15pct,long_ge_11d,19,0.2631578947368421,-3.512452631578947,-66.7366
avwap_50_reclaim,trailing_15pct,medium_4_10d,5,0.4,2.2617000000000007,11.308500000000004
avwap_50_reclaim,trailing_15pct,short_le_3d,5,0.0,-6.571039999999999,-32.855199999999996
avwap_50_reclaim,trailing_5pct,long_ge_11d,19,0.2631578947368421,-1.7721210526315787,-33.6703
avwap_50_reclaim,trailing_5pct,medium_4_10d,5,0.2,-2.99542,-14.9771
avwap_50_reclaim,trailing_5pct,short_le_3d,5,0.0,-0.77276,-3.8638
cpr_narrow_bullish,atr_trail_1x,long_ge_11d,74,0.25675675675675674,-1.2545337837837838,-92.8355
cpr_narrow_bullish,atr_trail_1x,medium_4_10d,13,0.07692307692307693,-3.9789307692307694,-51.7261
cpr_narrow_bullish,atr_trail_1x,short_le_3d,7,0.0,-7.519471428571428,-52.6363
cpr_narrow_bullish,atr_trail_2x,long_ge_11d,74,0.4864864864864865,1.5848527027027028,117.27910000000001
cpr_narrow_bullish,atr_trail_2x,medium_4_10d,13,0.07692307692307693,-6.292753846153847,-81.8058
cpr_narrow_bullish,atr_trail_2x,short_le_3d,7,0.0,-14.99067142857143,-104.9347
cpr_narrow_bullish,break_even_at_1r,long_ge_11d,74,0.05405405405405406,-3.8228040540540538,-282.8875
cpr_narrow_bullish,break_even_at_1r,medium_4_10d,13,0.0,-4.7252,-61.4276
cpr_narrow_bullish,break_even_at_1r,short_le_3d,7,0.0,-7.869542857142856,-55.0868
cpr_narrow_bullish,breakeven_plus_trail,long_ge_11d,74,0.35135135135135137,3.1916162162162163,236.1796
cpr_narrow_bullish,breakeven_plus_trail,medium_4_10d,13,0.07692307692307693,-6.412707692307692,-83.3652
cpr_narrow_bullish,breakeven_plus_trail,short_le_3d,7,0.14285714285714285,-10.650242857142857,-74.5517
