entry_date,sector,trades,total_trades,sector_pct
2022-05-05,Communication Services,1,10,10.0
2022-05-05,Financials,2,10,20.0
2022-05-05,Health Care,2,10,20.0
2022-05-05,Industrials,3,10,30.0
2022-05-05,Real Estate,1,10,10.0
2022-05-05,Utilities,1,10,10.0
2022-05-12,Energy,1,4,25.0
2022-05-12,Financials,1,4,25.0
2022-05-12,Information Technology,1,4,25.0
2022-05-12,Materials,1,4,25.0
2022-05-13,Consumer Discretionary,1,7,14.285714285714285
2022-05-13,Consumer Staples,1,7,14.285714285714285
2022-05-13,Energy,2,7,28.57142857142857
2022-05-13,Health Care,2,7,28.57142857142857
2022-05-13,Materials,1,7,14.285714285714285
2022-05-16,Financials,2,4,50.0
2022-05-16,Industrials,1,4,25.0
2022-05-16,Materials,1,4,25.0
2022-05-17,Consumer Discretionary,1,2,50.0
2022-05-17,Unknown,1,2,50.0
2022-05-18,Industrials,1,1,100.0
2022-05-19,Consumer Discretionary,1,1,100.0
2022-05-23,Energy,1,1,100.0
2022-05-24,Financials,1,1,100.0
2022-05-31,Information Technology,1,1,100.0
2022-06-02,Financials,1,2,50.0
2022-06-02,Materials,1,2,50.0
2022-06-09,Industrials,1,1,100.0
2022-06-16,Consumer Discretionary,1,2,50.0
2022-06-16,Unknown,1,2,50.0
2022-06-17,Real Estate,1,1,100.0
2022-06-20,Energy,3,4,75.0
2022-06-20,Materials,1,4,25.0
2022-06-21,Consumer Discretionary,1,5,20.0
2022-06-21,Financials,1,5,20.0
2022-06-21,Health Care,1,5,20.0
2022-06-21,Industrials,1,5,20.0
2022-06-21,Materials,1,5,20.0
2022-06-22,Energy,1,2,50.0
2022-06-22,Materials,1,2,50.0
2022-06-23,Financials,2,2,100.0
2022-06-27,Health Care,1,1,100.0
2022-06-28,Energy,1,1,100.0
2022-06-29,Information Technology,1,1,100.0
2022-07-01,Communication Services,1,3,33.33333333333333
2022-07-01,Consumer Discretionary,1,3,33.33333333333333
2022-07-01,Utilities,1,3,33.33333333333333
2022-07-06,Energy,1,1,100.0
2022-07-11,Consumer Discretionary,1,1,100.0
2022-07-12,Energy,2,3,66.66666666666666
2022-07-12,Industrials,1,3,33.33333333333333
2022-07-14,Financials,1,1,100.0
2022-07-15,Information Technology,1,1,100.0
2022-09-19,Communication Services,1,7,14.285714285714285
2022-09-19,Energy,1,7,14.285714285714285
2022-09-19,Financials,1,7,14.285714285714285
2022-09-19,Health Care,1,7,14.285714285714285
2022-09-19,Industrials,2,7,28.57142857142857
2022-09-19,Materials,1,7,14.285714285714285
2022-11-21,Consumer Discretionary,2,9,22.22222222222222
2022-11-21,Energy,1,9,11.11111111111111
2022-11-21,Financials,1,9,11.11111111111111
