ticker,date,strategy,scaler,multiplier
HST,2022-05-05,avwap_252_breakout,per_position_vol_target,0.2896
JCI,2022-05-05,avwap_50_reclaim,per_position_vol_target,0.2907
AWK,2022-05-05,cpr_narrow_bullish,per_position_vol_target,0.4374
RKLB,2022-05-05,bollinger_tight,per_position_vol_target,0.25
BAM,2022-05-05,avwap_50_reclaim,per_position_vol_target,0.3752
FOX,2022-05-05,williams_stoch_dual,per_position_vol_target,0.4728
BDX,2022-05-05,cpr_narrow_bullish,per_position_vol_target,0.4895
CERN,2022-05-05,avwap_50_reclaim,per_position_vol_target,2.0
CG,2022-05-05,ichimoku_cloud_breakout,per_position_vol_target,0.25
AOS,2022-05-05,avwap_50_reclaim,per_position_vol_target,0.3547
UUUU,2022-05-12,avwap_50_reclaim,per_position_vol_target,0.25
NVDA,2022-05-12,williams_stoch_dual,per_position_vol_target,0.25
BAC,2022-05-12,williams_stoch_dual,per_position_vol_target,0.333
VET,2022-05-12,williams_r_oversold,per_position_vol_target,0.25
CCEP,2022-05-13,pivot_r1_breakout,per_position_vol_target,0.4002
IFF,2022-05-13,cpr_narrow_bullish,per_position_vol_target,0.3968
BHVN,2022-05-13,cpr_narrow_bullish,per_position_vol_target,0.25
PSX,2022-05-13,cpr_narrow_bullish,per_position_vol_target,0.3225
HOLX,2022-05-13,cpr_narrow_bullish,per_position_vol_target,0.4524
FLR,2022-05-13,macd_crossover,per_position_vol_target,0.25
XLE,2022-05-13,macd_crossover,per_position_vol_target,0.3384
RF,2022-05-16,williams_stoch_dual,per_position_vol_target,0.3235
SWIM,2022-05-16,cpr_narrow_bullish,per_position_vol_target,0.25
HBAN,2022-05-16,avwap_50_reclaim,per_position_vol_target,0.3648
GNRC,2022-05-16,macd_crossover,per_position_vol_target,0.25
SGH,2022-05-17,cpr_narrow_bullish,per_position_vol_target,0.28
REZI,2022-05-17,cpr_narrow_bullish,per_position_vol_target,0.25
CSX,2022-05-18,avwap_50_reclaim,per_position_vol_target,0.3893
LCID,2022-05-19,cpr_narrow_bullish,per_position_vol_target,0.25
WMB,2022-05-23,cpr_narrow_bullish,per_position_vol_target,0.4317
CG,2022-05-24,supertrend_macd,per_position_vol_target,0.25
NVDA,2022-05-31,cpr_narrow_bullish,per_position_vol_target,0.25
SWIM,2022-06-02,hull_rsi,per_position_vol_target,0.25
BAM,2022-06-02,cpr_narrow_bullish,per_position_vol_target,0.3797
RKLB,2022-06-09,supertrend_macd,portfolio_vol_target,1.5
RKLB,2022-06-09,supertrend_macd,per_position_vol_target,0.25
HST,2022-06-09,cpr_narrow_bullish,portfolio_vol_target,1.5
HST,2022-06-09,cpr_narrow_bullish,per_position_vol_target,0.3112
HST,2022-06-09,macd_fast_crossover,portfolio_vol_target,1.5
HST,2022-06-09,macd_fast_crossover,per_position_vol_target,0.3112
HST,2022-06-09,stoch_oversold,portfolio_vol_target,1.5
HST,2022-06-09,stoch_oversold,per_position_vol_target,0.3112
HST,2022-06-09,force_index_breakout,portfolio_vol_target,1.5
HST,2022-06-09,force_index_breakout,per_position_vol_target,0.3112
SGH,2022-06-16,avwap_252_breakout,portfolio_vol_target,1.5
SGH,2022-06-16,avwap_252_breakout,per_position_vol_target,0.25
REZI,2022-06-16,avwap_252_breakout,portfolio_vol_target,1.5
REZI,2022-06-16,avwap_252_breakout,per_position_vol_target,0.25
HST,2022-06-17,williams_stoch_dual,portfolio_vol_target,1.5
HST,2022-06-17,williams_stoch_dual,per_position_vol_target,0.25
WMB,2022-06-20,avwap_50_reclaim,portfolio_vol_target,1.5
WMB,2022-06-20,avwap_50_reclaim,per_position_vol_target,0.317
IFF,2022-06-20,williams_stoch_dual,portfolio_vol_target,1.5
IFF,2022-06-20,williams_stoch_dual,per_position_vol_target,0.3389
XLE,2022-06-20,ultimate_oscillator,portfolio_vol_target,1.5
XLE,2022-06-20,ultimate_oscillator,per_position_vol_target,0.2925
VET,2022-06-20,ultimate_oscillator,portfolio_vol_target,1.5
VET,2022-06-20,ultimate_oscillator,per_position_vol_target,0.25
SWIM,2022-06-21,cpr_narrow_bullish,portfolio_vol_target,1.5
SWIM,2022-06-21,cpr_narrow_bullish,per_position_vol_target,0.25
BDX,2022-06-21,ichimoku_tk_cross,portfolio_vol_target,1.5
