ticker,date,strategy,reason,close,next_open,atr
HST,2022-05-05,hull_rsi,dedup_one_position_per_ticker_per_day,,,
HST,2022-05-05,roc_burst,dedup_one_position_per_ticker_per_day,,,
HST,2022-05-05,tema_dema,dedup_one_position_per_ticker_per_day,,,
HST,2022-05-05,force_index_breakout,dedup_one_position_per_ticker_per_day,,,
HST,2022-05-05,bullish_engulfing_support,dedup_one_position_per_ticker_per_day,,,
HST,2022-05-05,cpr_narrow_momentum,dedup_one_position_per_ticker_per_day,,,
HST,2022-05-05,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
HST,2022-05-05,cpr_narrow_momentum_short,regime_affinity_block_neutral_batch203,,,
JCI,2022-05-05,hull_rsi,dedup_one_position_per_ticker_per_day,,,
JCI,2022-05-05,ichimoku_cloud_breakout,dedup_one_position_per_ticker_per_day,,,
JCI,2022-05-05,supertrend_macd,dedup_one_position_per_ticker_per_day,,,
JCI,2022-05-05,supertrend_macd_short,regime_affinity_block_neutral_batch203,,,
JCI,2022-05-05,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
JCI,2022-05-05,dc20_break_retest,dedup_one_position_per_ticker_per_day,,,
JCI,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
JCI,2022-05-05,lead_lag_sector_rotation,dedup_one_position_per_ticker_per_day,,,
AWK,2022-05-05,hull_rsi,dedup_one_position_per_ticker_per_day,,,
AWK,2022-05-05,ichimoku_cloud_breakout,dedup_one_position_per_ticker_per_day,,,
AWK,2022-05-05,cpr_narrow_momentum,dedup_one_position_per_ticker_per_day,,,
AWK,2022-05-05,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
AWK,2022-05-05,cpr_narrow_momentum_short,regime_affinity_block_neutral_batch203,,,
AWK,2022-05-05,r1_break_retest,dedup_one_position_per_ticker_per_day,,,
AWK,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
RKLB,2022-05-05,cpr_narrow_bullish,dedup_one_position_per_ticker_per_day,,,
RKLB,2022-05-05,hull_rsi,dedup_one_position_per_ticker_per_day,,,
RKLB,2022-05-05,cpr_narrow_momentum,dedup_one_position_per_ticker_per_day,,,
RKLB,2022-05-05,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
RKLB,2022-05-05,cpr_narrow_momentum_short,regime_affinity_block_neutral_batch203,,,
RKLB,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
RKLB,2022-05-05,lead_lag_sector_rotation,dedup_one_position_per_ticker_per_day,,,
BAM,2022-05-05,macd_fast_crossover,dedup_one_position_per_ticker_per_day,,,
BAM,2022-05-05,hull_rsi,dedup_one_position_per_ticker_per_day,,,
BAM,2022-05-05,force_index_breakout,dedup_one_position_per_ticker_per_day,,,
BAM,2022-05-05,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
BAM,2022-05-05,r1_break_retest,dedup_one_position_per_ticker_per_day,,,
BAM,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
BAM,2022-05-05,lead_lag_sector_rotation,dedup_one_position_per_ticker_per_day,,,
FOX,2022-05-05,avwap_50_reclaim,dedup_one_position_per_ticker_per_day,,,
FOX,2022-05-05,cpr_narrow_bullish,dedup_one_position_per_ticker_per_day,,,
FOX,2022-05-05,ichimoku_cloud_breakout,dedup_one_position_per_ticker_per_day,,,
FOX,2022-05-05,cpr_narrow_momentum,dedup_one_position_per_ticker_per_day,,,
FOX,2022-05-05,cpr_narrow_momentum_short,regime_affinity_block_neutral_batch203,,,
FOX,2022-05-05,r1_break_retest,dedup_one_position_per_ticker_per_day,,,
FOX,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
BDX,2022-05-05,camarilla_r3_breakout,dedup_one_position_per_ticker_per_day,,,
BDX,2022-05-05,prev_day_high_break,dedup_one_position_per_ticker_per_day,,,
BDX,2022-05-05,macd_fast_crossover,dedup_one_position_per_ticker_per_day,,,
BDX,2022-05-05,force_index_breakout,dedup_one_position_per_ticker_per_day,,,
BDX,2022-05-05,three_white_soldiers,dedup_one_position_per_ticker_per_day,,,
BDX,2022-05-05,avwap_252_breakout,dedup_one_position_per_ticker_per_day,,,
CERN,2022-05-05,52wh_break_retest,dedup_one_position_per_ticker_per_day,,,
CERN,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
CERN,2022-05-05,avwap_252_breakout,dedup_one_position_per_ticker_per_day,,,
CERN,2022-05-05,stochrsi_overbought_short,regime_affinity_block_neutral_batch203,,,
CERN,2022-05-05,lead_lag_sector_rotation,dedup_one_position_per_ticker_per_day,,,
CG,2022-05-05,cpr_narrow_momentum,dedup_one_position_per_ticker_per_day,,,
CG,2022-05-05,cpr_narrow_momentum_short,regime_affinity_block_neutral_batch203,,,
CG,2022-05-05,r1_break_retest,dedup_one_position_per_ticker_per_day,,,
CG,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
CG,2022-05-05,lead_lag_sector_rotation,dedup_one_position_per_ticker_per_day,,,
AOS,2022-05-05,hull_rsi,dedup_one_position_per_ticker_per_day,,,
AOS,2022-05-05,ichimoku_cloud_breakout,dedup_one_position_per_ticker_per_day,,,
AOS,2022-05-05,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
AOS,2022-05-05,r1_break_retest,dedup_one_position_per_ticker_per_day,,,
AOS,2022-05-05,break_retest_confluence,dedup_one_position_per_ticker_per_day,,,
RKLB,2022-05-06,(any),ticker_already_open_concurrent_block_bug61,,,
BAM,2022-05-06,(any),ticker_already_open_concurrent_block_bug61,,,
BHVN,2022-05-06,avwap_50_reclaim,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,cpr_narrow_bullish,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,macd_fast_crossover,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,hull_rsi,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,ichimoku_cloud_breakout,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,cpr_narrow_momentum,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,hull_rsi_short,regime_affinity_block_neutral_batch203,,,
BHVN,2022-05-06,cpr_narrow_momentum_short,regime_affinity_block_neutral_batch203,,,
BHVN,2022-05-06,r1_break_retest,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,break_retest_confluence,EVENT_SUPPRESSION_NFP_d0_dec348,,,
BHVN,2022-05-06,lead_lag_sector_rotation,EVENT_SUPPRESSION_NFP_d0_dec348,,,
JCI,2022-05-06,(any),ticker_already_open_concurrent_block_bug61,,,
FOX,2022-05-06,(any),ticker_already_open_concurrent_block_bug61,,,
XLE,2022-05-06,cpr_narrow_bullish,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,hull_rsi,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,tema_dema,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,ichimoku_tk_cross,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,supertrend_macd,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,cpr_narrow_momentum,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,r1_break_retest,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,52wh_break_retest,EVENT_SUPPRESSION_NFP_d0_dec348,,,
XLE,2022-05-06,break_retest_confluence,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,cpr_narrow_bullish,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,hull_rsi,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,tema_dema,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,ichimoku_cloud_breakout,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,supertrend_macd,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,cpr_narrow_momentum,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,52wh_break_retest,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,break_retest_confluence,EVENT_SUPPRESSION_NFP_d0_dec348,,,
WMB,2022-05-06,williams_stoch_dual,EVENT_SUPPRESSION_NFP_d0_dec348,,,
PSX,2022-05-06,cpr_narrow_bullish,EVENT_SUPPRESSION_NFP_d0_dec348,,,
PSX,2022-05-06,ichimoku_tk_cross,EVENT_SUPPRESSION_NFP_d0_dec348,,,
PSX,2022-05-06,cpr_narrow_momentum,EVENT_SUPPRESSION_NFP_d0_dec348,,,
PSX,2022-05-06,52wh_break_retest,EVENT_SUPPRESSION_NFP_d0_dec348,,,
PSX,2022-05-06,break_retest_confluence,EVENT_SUPPRESSION_NFP_d0_dec348,,,
PSX,2022-05-06,stochrsi_overbought_short,regime_affinity_block_neutral_batch203,,,
AWK,2022-05-06,(any),ticker_already_open_concurrent_block_bug61,,,
CG,2022-05-06,(any),ticker_already_open_concurrent_block_bug61,,,
LCID,2022-05-09,bollinger_tight,dispersion_cb_dec128_z_3.63,,,
FOX,2022-05-09,williams_stoch_dual,dispersion_cb_dec128_z_3.63,,,
RKLB,2022-05-09,bollinger_lower,dispersion_cb_dec128_z_3.63,,,
BAM,2022-05-09,avwap_252_breakout,dispersion_cb_dec128_z_3.63,,,
VET,2022-05-09,williams_r_oversold,dispersion_cb_dec128_z_3.63,,,
