strategy,exit_method,day_of_week_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,fri,8,0.25,-0.44415000000000004,-3.5532000000000004
bollinger_lower,atr_trail_1x,mon,30,0.13333333333333333,-1.69093,-50.7279
bollinger_lower,atr_trail_1x,thu,4,0.0,-0.9935999999999999,-3.9743999999999997
bollinger_lower,atr_trail_1x,tue,8,0.0,-1.4519,-11.6152
bollinger_lower,atr_trail_1x,wed,6,0.3333333333333333,-0.11191666666666666,-0.6715
bollinger_lower,atr_trail_2x,fri,8,0.5,1.4263750000000002,11.411000000000001
bollinger_lower,atr_trail_2x,mon,30,0.36666666666666664,-0.28723333333333334,-8.617
bollinger_lower,atr_trail_2x,thu,4,0.25,-2.077725,-8.3109
bollinger_lower,atr_trail_2x,tue,8,0.125,-0.5057499999999999,-4.045999999999999
bollinger_lower,atr_trail_2x,wed,6,0.5,-0.9286,-5.5716
bollinger_lower,break_even_at_1r,fri,8,0.125,0.4533625000000001,3.626900000000001
bollinger_lower,break_even_at_1r,mon,30,0.1,-0.9917233333333334,-29.751700000000003
bollinger_lower,break_even_at_1r,thu,4,0.0,-1.080025,-4.3201
bollinger_lower,break_even_at_1r,tue,8,0.0,-1.5634625,-12.5077
bollinger_lower,break_even_at_1r,wed,6,0.16666666666666666,3.3786166666666664,20.2717
bollinger_lower,breakeven_plus_trail,fri,8,0.375,1.5463375,12.3707
bollinger_lower,breakeven_plus_trail,mon,30,0.36666666666666664,5.422126666666667,162.6638
bollinger_lower,breakeven_plus_trail,thu,4,0.0,-2.025025,-8.1001
bollinger_lower,breakeven_plus_trail,tue,8,0.5,17.149887500000002,137.19910000000002
bollinger_lower,breakeven_plus_trail,wed,6,0.3333333333333333,2.476633333333333,14.859799999999998
bollinger_lower,class_time_stop,fri,8,0.625,0.7891875000000004,6.313500000000003
bollinger_lower,class_time_stop,mon,30,0.4666666666666667,3.046203333333333,91.3861
bollinger_lower,class_time_stop,thu,4,0.25,-1.626325,-6.5053
bollinger_lower,class_time_stop,tue,8,0.625,6.858499999999999,54.867999999999995
bollinger_lower,class_time_stop,wed,6,0.5,-7.730066666666667,-46.3804
bollinger_lower,earnings_blackout,fri,8,0.5,16.9412125,135.5297
bollinger_lower,earnings_blackout,mon,30,0.6666666666666666,69.79606666666668,2093.882
bollinger_lower,earnings_blackout,thu,4,0.25,-13.589875000000001,-54.359500000000004
bollinger_lower,earnings_blackout,tue,8,0.625,15.9836375,127.8691
bollinger_lower,earnings_blackout,wed,6,0.5,63.371316666666665,380.2279
bollinger_lower,fixed_4r_2r,fri,8,0.75,5.72905,45.8324
bollinger_lower,fixed_4r_2r,mon,30,0.4,1.9127233333333336,57.38170000000001
bollinger_lower,fixed_4r_2r,thu,4,0.25,-2.206725,-8.8269
bollinger_lower,fixed_4r_2r,tue,8,0.5,4.1298,33.0384
bollinger_lower,fixed_4r_2r,wed,6,0.16666666666666666,-2.2228999999999997,-13.337399999999999
bollinger_lower,hybrid_50pct_target,fri,8,0.75,-4.044575,-32.3566
bollinger_lower,hybrid_50pct_target,mon,30,0.7333333333333333,3.1050333333333335,93.15100000000001
bollinger_lower,hybrid_50pct_target,thu,4,1.0,5.0103,20.0412
bollinger_lower,hybrid_50pct_target,tue,8,0.5,-4.421099999999999,-35.36879999999999
bollinger_lower,hybrid_50pct_target,wed,6,0.6666666666666666,-14.144799999999998,-84.8688
bollinger_lower,ma_exit_ema9,fri,8,0.625,0.3043375,2.4347
bollinger_lower,ma_exit_ema9,mon,30,0.26666666666666666,-1.5352399999999997,-46.057199999999995
bollinger_lower,ma_exit_ema9,thu,4,0.75,0.42185,1.6874
bollinger_lower,ma_exit_ema9,tue,8,0.625,3.99275,31.942
bollinger_lower,ma_exit_ema9,wed,6,0.6666666666666666,1.0535166666666667,6.3211
bollinger_lower,next_pivot_target,fri,8,0.75,-0.36026249999999993,-2.8820999999999994
bollinger_lower,next_pivot_target,mon,30,0.8,1.0614733333333333,31.8442
bollinger_lower,next_pivot_target,thu,4,1.0,2.3701,9.4804
bollinger_lower,next_pivot_target,tue,8,0.75,0.7416375,5.9331
bollinger_lower,next_pivot_target,wed,6,1.0,3.2346333333333335,19.4078
bollinger_lower,r_multiple_2r,fri,8,0.375,0.4835625,3.8685
bollinger_lower,r_multiple_2r,mon,30,0.3333333333333333,-0.2666933333333333,-8.000799999999998
bollinger_lower,r_multiple_2r,thu,4,0.25,-1.10335,-4.4134
bollinger_lower,r_multiple_2r,tue,8,0.375,1.2311,9.8488
bollinger_lower,r_multiple_2r,wed,6,0.5,1.7524833333333334,10.5149
bollinger_lower,r_multiple_3r,fri,8,0.375,1.547675,12.3814
bollinger_lower,r_multiple_3r,mon,30,0.26666666666666666,0.2089699999999999,6.269099999999997
bollinger_lower,r_multiple_3r,thu,4,0.25,-0.7422249999999999,-2.9688999999999997
bollinger_lower,r_multiple_3r,tue,8,0.375,2.795125,22.361
bollinger_lower,r_multiple_3r,wed,6,0.16666666666666666,-1.2176333333333333,-7.3058
bollinger_lower,regime_flip,fri,8,0.625,1.3680999999999999,10.944799999999999
bollinger_lower,regime_flip,mon,30,0.7333333333333333,3.8569400000000003,115.7082
bollinger_lower,regime_flip,thu,4,0.25,-2.06515,-8.2606
bollinger_lower,regime_flip,tue,8,0.625,4.6015625,36.8125
bollinger_lower,regime_flip,wed,6,0.5,-4.624216666666666,-27.7453
bollinger_lower,time_stop_10d,fri,8,0.5,-0.6996250000000002,-5.597000000000001
bollinger_lower,time_stop_10d,mon,30,0.5333333333333333,1.3516066666666666,40.5482
bollinger_lower,time_stop_10d,thu,4,0.25,-0.8722749999999999,-3.4890999999999996
bollinger_lower,time_stop_10d,tue,8,0.5,2.8210375,22.5683
bollinger_lower,time_stop_10d,wed,6,0.6666666666666666,1.9479999999999997,11.687999999999999
bollinger_lower,time_stop_20d,fri,8,0.625,1.3680999999999999,10.944799999999999
bollinger_lower,time_stop_20d,mon,30,0.7333333333333333,3.8569400000000003,115.7082
bollinger_lower,time_stop_20d,thu,4,0.25,-2.06515,-8.2606
bollinger_lower,time_stop_20d,tue,8,0.625,4.6015625,36.8125
bollinger_lower,time_stop_20d,wed,6,0.5,-4.624216666666666,-27.7453
bollinger_lower,trailing_10pct,fri,8,0.5,-0.9236374999999999,-7.389099999999999
bollinger_lower,trailing_10pct,mon,30,0.43333333333333335,4.0215733333333334,120.6472
bollinger_lower,trailing_10pct,thu,4,0.5,2.53735,10.1494
bollinger_lower,trailing_10pct,tue,8,0.5,13.11585,104.9268
bollinger_lower,trailing_10pct,wed,6,0.5,1.8772499999999999,11.263499999999999
bollinger_lower,trailing_15pct,fri,8,0.375,3.840775,30.7262
bollinger_lower,trailing_15pct,mon,30,0.5,13.410993333333332,402.3298
bollinger_lower,trailing_15pct,thu,4,0.75,3.8158499999999997,15.263399999999999
bollinger_lower,trailing_15pct,tue,8,0.5,16.5868125,132.6945
bollinger_lower,trailing_15pct,wed,6,0.5,28.375333333333334,170.252
bollinger_lower,trailing_5pct,fri,8,0.625,3.6139125,28.9113
bollinger_lower,trailing_5pct,mon,30,0.3333333333333333,-0.7355766666666667,-22.0673
bollinger_lower,trailing_5pct,thu,4,0.25,-2.57505,-10.3002
bollinger_lower,trailing_5pct,tue,8,0.125,-0.7106875,-5.6855
bollinger_lower,trailing_5pct,wed,6,0.16666666666666666,-1.4971166666666667,-8.9827
bollinger_tight,atr_trail_1x,fri,7,0.2857142857142857,-0.12184285714285718,-0.8529000000000003
bollinger_tight,atr_trail_1x,mon,27,0.1111111111111111,-1.5820740740740742,-42.716
bollinger_tight,atr_trail_1x,thu,2,0.5,-0.5464499999999999,-1.0928999999999998
bollinger_tight,atr_trail_1x,tue,10,0.1,-0.7941,-7.941
bollinger_tight,atr_trail_1x,wed,2,0.0,-1.7524,-3.5048
bollinger_tight,atr_trail_2x,fri,7,0.42857142857142855,4.897500000000001,34.282500000000006
bollinger_tight,atr_trail_2x,mon,27,0.3333333333333333,-0.6518222222222223,-17.599200000000003
bollinger_tight,atr_trail_2x,thu,2,0.5,0.0734999999999999,0.1469999999999998
bollinger_tight,atr_trail_2x,tue,10,0.2,-1.49437,-14.9437
bollinger_tight,atr_trail_2x,wed,2,0.5,-0.9004500000000001,-1.8009000000000002
bollinger_tight,break_even_at_1r,fri,7,0.42857142857142855,4.546671428571429,31.826700000000002
bollinger_tight,break_even_at_1r,mon,27,0.037037037037037035,-1.051911111111111,-28.4016
bollinger_tight,break_even_at_1r,thu,2,0.0,-2.61125,-5.2225
bollinger_tight,break_even_at_1r,tue,10,0.0,-1.03898,-10.389800000000001
bollinger_tight,break_even_at_1r,wed,2,0.0,-0.15095,-0.3019
bollinger_tight,breakeven_plus_trail,fri,7,0.5714285714285714,6.659785714285715,46.618500000000004
bollinger_tight,breakeven_plus_trail,mon,27,0.2962962962962963,5.623007407407408,151.8212
bollinger_tight,breakeven_plus_trail,thu,2,0.0,-1.9042,-3.8084
bollinger_tight,breakeven_plus_trail,tue,10,0.0,-1.28912,-12.891200000000001
bollinger_tight,breakeven_plus_trail,wed,2,0.0,0.0,0.0
bollinger_tight,class_time_stop,fri,7,0.7142857142857143,6.5741000000000005,46.0187
bollinger_tight,class_time_stop,mon,27,0.5185185185185185,2.2729037037037036,61.3684
bollinger_tight,class_time_stop,thu,2,0.5,-4.675050000000001,-9.350100000000001
bollinger_tight,class_time_stop,tue,10,0.4,-1.07055,-10.705499999999999
bollinger_tight,class_time_stop,wed,2,0.0,-3.9604,-7.9208
bollinger_tight,earnings_blackout,fri,7,0.42857142857142855,175.9374857142857,1231.5624
bollinger_tight,earnings_blackout,mon,27,0.6296296296296297,139.8785259259259,3776.7201999999997
bollinger_tight,earnings_blackout,thu,2,0.0,-94.93925,-189.8785
bollinger_tight,earnings_blackout,tue,10,0.5,-8.173390000000003,-81.73390000000003
bollinger_tight,earnings_blackout,wed,2,0.0,-79.8159,-159.6318
bollinger_tight,fixed_4r_2r,fri,7,0.5714285714285714,7.047071428571429,49.3295
bollinger_tight,fixed_4r_2r,mon,27,0.4074074074074074,0.8428666666666667,22.7574
bollinger_tight,fixed_4r_2r,thu,2,0.5,1.45595,2.9119
bollinger_tight,fixed_4r_2r,tue,10,0.0,-6.20549,-62.0549
bollinger_tight,fixed_4r_2r,wed,2,0.0,-5.095,-10.19
bollinger_tight,hybrid_50pct_target,fri,7,0.8571428571428571,6.982242857142857,48.8757
bollinger_tight,hybrid_50pct_target,mon,27,0.5925925925925926,-2.4313444444444445,-65.6463
bollinger_tight,hybrid_50pct_target,thu,2,1.0,1.85865,3.7173
bollinger_tight,hybrid_50pct_target,tue,10,0.6,-16.11311,-161.1311
bollinger_tight,hybrid_50pct_target,wed,2,0.5,-61.8277,-123.6554
bollinger_tight,ma_exit_ema9,fri,7,0.5714285714285714,0.952442857142857,6.6671
bollinger_tight,ma_exit_ema9,mon,27,0.2222222222222222,-0.9115222222222222,-24.6111
bollinger_tight,ma_exit_ema9,thu,2,0.5,-0.36205,-0.7241
bollinger_tight,ma_exit_ema9,tue,10,0.5,0.12304999999999999,1.2305
bollinger_tight,ma_exit_ema9,wed,2,1.0,0.34565,0.6913
bollinger_tight,next_pivot_target,fri,7,0.8571428571428571,3.575828571428571,25.0308
bollinger_tight,next_pivot_target,mon,27,0.8888888888888888,0.9963407407407407,26.9012
bollinger_tight,next_pivot_target,thu,2,0.5,-4.28215,-8.5643
bollinger_tight,next_pivot_target,tue,10,0.8,1.20471,12.0471
bollinger_tight,next_pivot_target,wed,2,0.5,-4.287,-8.574
bollinger_tight,r_multiple_2r,fri,7,0.42857142857142855,2.4932142857142856,17.4525
bollinger_tight,r_multiple_2r,mon,27,0.25925925925925924,-0.5963185185185185,-16.1006
bollinger_tight,r_multiple_2r,thu,2,0.5,0.7735000000000001,1.5470000000000002
bollinger_tight,r_multiple_2r,tue,10,0.3,-0.30104,-3.0103999999999997
bollinger_tight,r_multiple_2r,wed,2,0.5,0.16484999999999994,0.3296999999999999
bollinger_tight,r_multiple_3r,fri,7,0.42857142857142855,3.9449857142857145,27.614900000000002
bollinger_tight,r_multiple_3r,mon,27,0.18518518518518517,-0.5734296296296295,-15.482599999999998
bollinger_tight,r_multiple_3r,thu,2,0.5,1.5679999999999998,3.1359999999999997
bollinger_tight,r_multiple_3r,tue,10,0.1,-1.30948,-13.0948
bollinger_tight,r_multiple_3r,wed,2,0.5,1.0689499999999998,2.1378999999999997
bollinger_tight,regime_flip,fri,7,0.5714285714285714,6.039914285714285,42.279399999999995
bollinger_tight,regime_flip,mon,27,0.6296296296296297,1.6103888888888889,43.4805
bollinger_tight,regime_flip,thu,2,0.5,-3.6942500000000003,-7.3885000000000005
bollinger_tight,regime_flip,tue,10,0.5,-0.2975999999999999,-2.975999999999999
bollinger_tight,regime_flip,wed,2,0.5,0.4136000000000001,0.8272000000000002
bollinger_tight,time_stop_10d,fri,7,0.5714285714285714,2.034885714285714,14.2442
bollinger_tight,time_stop_10d,mon,27,0.5185185185185185,0.05214074074074074,1.4078
bollinger_tight,time_stop_10d,thu,2,0.5,1.5113,3.0226
bollinger_tight,time_stop_10d,tue,10,0.4,-0.06225999999999994,-0.6225999999999994
bollinger_tight,time_stop_10d,wed,2,1.0,1.2254,2.4508
bollinger_tight,time_stop_20d,fri,7,0.5714285714285714,6.039914285714285,42.279399999999995
bollinger_tight,time_stop_20d,mon,27,0.6296296296296297,1.6103888888888889,43.4805
bollinger_tight,time_stop_20d,thu,2,0.5,-3.6942500000000003,-7.3885000000000005
bollinger_tight,time_stop_20d,tue,10,0.5,-0.2975999999999999,-2.975999999999999
bollinger_tight,time_stop_20d,wed,2,0.5,0.4136000000000001,0.8272000000000002
bollinger_tight,trailing_10pct,fri,7,0.5714285714285714,4.889242857142857,34.2247
bollinger_tight,trailing_10pct,mon,27,0.37037037037037035,3.605748148148148,97.3552
bollinger_tight,trailing_10pct,thu,2,0.0,-6.6264,-13.2528
bollinger_tight,trailing_10pct,tue,10,0.2,-1.7734099999999997,-17.734099999999998
bollinger_tight,trailing_10pct,wed,2,0.0,-5.30275,-10.6055
bollinger_tight,trailing_15pct,fri,7,0.5714285714285714,1.7665714285714285,12.366
bollinger_tight,trailing_15pct,mon,27,0.37037037037037035,12.093070370370368,326.51289999999995
bollinger_tight,trailing_15pct,thu,2,0.0,-7.1813,-14.3626
bollinger_tight,trailing_15pct,tue,10,0.3,-2.2675899999999998,-22.6759
bollinger_tight,trailing_15pct,wed,2,0.5,-4.5877,-9.1754
bollinger_tight,trailing_5pct,fri,7,0.2857142857142857,1.4714714285714285,10.3003
bollinger_tight,trailing_5pct,mon,27,0.37037037037037035,-0.1025111111111111,-2.7677999999999994
bollinger_tight,trailing_5pct,thu,2,0.5,-1.7748,-3.5496
bollinger_tight,trailing_5pct,tue,10,0.2,-2.30261,-23.0261
bollinger_tight,trailing_5pct,wed,2,0.5,-0.81975,-1.6395
cpr_narrow_bullish,atr_trail_1x,fri,6,0.5,-0.2481,-1.4886
cpr_narrow_bullish,atr_trail_1x,mon,22,0.09090909090909091,-1.7917909090909092,-39.4194
cpr_narrow_bullish,atr_trail_1x,thu,1,0.0,-2.2295,-2.2295
cpr_narrow_bullish,atr_trail_1x,tue,7,0.42857142857142855,-0.5959714285714286,-4.1718
cpr_narrow_bullish,atr_trail_1x,wed,6,0.3333333333333333,-0.5824,-3.4944
cpr_narrow_bullish,atr_trail_2x,fri,6,0.8333333333333334,6.6617500000000005,39.9705
cpr_narrow_bullish,atr_trail_2x,mon,22,0.09090909090909091,-2.857581818181818,-62.8668
cpr_narrow_bullish,atr_trail_2x,thu,1,0.0,-4.459,-4.459
cpr_narrow_bullish,atr_trail_2x,tue,7,0.5714285714285714,1.4442428571428572,10.1097
cpr_narrow_bullish,atr_trail_2x,wed,6,0.3333333333333333,0.44463333333333327,2.6677999999999997
cpr_narrow_bullish,break_even_at_1r,fri,6,0.16666666666666666,1.4472166666666668,8.683300000000001
cpr_narrow_bullish,break_even_at_1r,mon,22,0.0,-1.8089090909090908,-39.796
cpr_narrow_bullish,break_even_at_1r,thu,1,0.0,-2.2295,-2.2295
cpr_narrow_bullish,break_even_at_1r,tue,7,0.2857142857142857,0.7975428571428572,5.582800000000001
cpr_narrow_bullish,break_even_at_1r,wed,6,0.16666666666666666,-1.0831166666666667,-6.4987
cpr_narrow_bullish,breakeven_plus_trail,fri,6,0.6666666666666666,8.74005,52.4403
cpr_narrow_bullish,breakeven_plus_trail,mon,22,0.045454545454545456,-2.226427272727273,-48.9814
cpr_narrow_bullish,breakeven_plus_trail,thu,1,0.0,-4.459,-4.459
cpr_narrow_bullish,breakeven_plus_trail,tue,7,0.5714285714285714,2.5604000000000005,17.922800000000002
cpr_narrow_bullish,breakeven_plus_trail,wed,6,0.3333333333333333,0.26991666666666675,1.6195000000000004
cpr_narrow_bullish,class_time_stop,fri,6,0.8333333333333334,5.671433333333333,34.0286
cpr_narrow_bullish,class_time_stop,mon,22,0.3181818181818182,-3.7951363636363635,-83.493
cpr_narrow_bullish,class_time_stop,thu,1,1.0,1.2347,1.2347
cpr_narrow_bullish,class_time_stop,tue,7,0.5714285714285714,7.276928571428572,50.938500000000005
cpr_narrow_bullish,class_time_stop,wed,6,0.6666666666666666,-1.1156166666666667,-6.6937
cpr_narrow_bullish,earnings_blackout,fri,6,0.6666666666666666,-8.320566666666664,-49.92339999999999
cpr_narrow_bullish,earnings_blackout,mon,22,0.5454545454545454,1.8511772727272726,40.725899999999996
cpr_narrow_bullish,earnings_blackout,thu,1,0.0,-22.8432,-22.8432
cpr_narrow_bullish,earnings_blackout,tue,7,0.7142857142857143,10.858999999999998,76.01299999999999
cpr_narrow_bullish,earnings_blackout,wed,6,0.3333333333333333,-47.32313333333334,-283.9388
cpr_narrow_bullish,fixed_4r_2r,fri,6,0.5,0.34351666666666675,2.0611000000000006
cpr_narrow_bullish,fixed_4r_2r,mon,22,0.045454545454545456,-4.426640909090909,-97.3861
cpr_narrow_bullish,fixed_4r_2r,thu,1,0.0,-4.459,-4.459
cpr_narrow_bullish,fixed_4r_2r,tue,7,0.5714285714285714,4.995128571428571,34.9659
cpr_narrow_bullish,fixed_4r_2r,wed,6,0.3333333333333333,-0.6078833333333336,-3.6473000000000013
cpr_narrow_bullish,hybrid_50pct_target,fri,6,0.8333333333333334,-3.9039999999999986,-23.423999999999992
cpr_narrow_bullish,hybrid_50pct_target,mon,22,0.2727272727272727,-17.735604545454546,-390.18330000000003
cpr_narrow_bullish,hybrid_50pct_target,thu,1,1.0,4.2113,4.2113
cpr_narrow_bullish,hybrid_50pct_target,tue,7,0.5714285714285714,-26.01372857142857,-182.09609999999998
cpr_narrow_bullish,hybrid_50pct_target,wed,6,0.6666666666666666,-44.28715,-265.7229
cpr_narrow_bullish,ma_exit_ema9,fri,6,0.6666666666666666,3.77005,22.6203
cpr_narrow_bullish,ma_exit_ema9,mon,22,0.2727272727272727,-1.732181818181818,-38.108
cpr_narrow_bullish,ma_exit_ema9,thu,1,0.0,-2.8367,-2.8367
cpr_narrow_bullish,ma_exit_ema9,tue,7,0.2857142857142857,1.6991857142857143,11.8943
cpr_narrow_bullish,ma_exit_ema9,wed,6,0.3333333333333333,-0.4307,-2.5842
cpr_narrow_bullish,next_pivot_target,fri,6,0.8333333333333334,3.4876833333333335,20.9261
cpr_narrow_bullish,next_pivot_target,mon,22,0.6363636363636364,-1.360309090909091,-29.9268
cpr_narrow_bullish,next_pivot_target,thu,1,1.0,0.8092,0.8092
cpr_narrow_bullish,next_pivot_target,tue,7,1.0,1.5863571428571428,11.1045
cpr_narrow_bullish,next_pivot_target,wed,6,0.5,-3.1506333333333334,-18.9038
cpr_narrow_bullish,r_multiple_2r,fri,6,0.5,0.6914166666666667,4.1485
cpr_narrow_bullish,r_multiple_2r,mon,22,0.18181818181818182,-1.6488772727272727,-36.2753
cpr_narrow_bullish,r_multiple_2r,thu,1,0.0,-2.2295,-2.2295
cpr_narrow_bullish,r_multiple_2r,tue,7,0.5714285714285714,2.6071142857142857,18.2498
cpr_narrow_bullish,r_multiple_2r,wed,6,0.3333333333333333,0.2189499999999999,1.3136999999999994
cpr_narrow_bullish,r_multiple_3r,fri,6,0.5,1.7559833333333337,10.535900000000002
cpr_narrow_bullish,r_multiple_3r,mon,22,0.09090909090909091,-1.9664318181818181,-43.2615
cpr_narrow_bullish,r_multiple_3r,thu,1,0.0,-2.2295,-2.2295
cpr_narrow_bullish,r_multiple_3r,tue,7,0.42857142857142855,2.8003714285714287,19.602600000000002
cpr_narrow_bullish,r_multiple_3r,wed,6,0.3333333333333333,1.1742499999999998,7.045499999999999
cpr_narrow_bullish,regime_flip,fri,6,0.8333333333333334,6.1947,37.1682
cpr_narrow_bullish,regime_flip,mon,22,0.2727272727272727,-2.2136272727272726,-48.699799999999996
cpr_narrow_bullish,regime_flip,thu,1,0.0,-4.0231,-4.0231
cpr_narrow_bullish,regime_flip,tue,7,0.5714285714285714,3.123128571428571,21.8619
