signal_contribution,timing_contribution,exit_contribution,sizing_contribution,agent_contribution,actual_total_check,ticker,entry_date
-1007.23,0.0,0.0,0.0,0.0,-1007.23,NVDA,2022-05-09
-969.63,0.0,0.0,0.0,0.0,-969.63,GOOGL,2022-05-09
-456.53,0.0,0.0,0.0,0.0,-456.53,GE,2022-05-09
-345.2,0.0,0.0,0.0,0.0,-345.2,MA,2022-05-09
-695.79,0.0,0.0,0.0,0.0,-695.79,VTI,2022-05-09
-344.91,0.0,0.0,0.0,0.0,-344.91,IWM,2022-05-09
-747.49,0.0,0.0,0.0,0.0,-747.49,XLF,2022-05-09
-773.53,0.0,0.0,0.0,0.0,-773.53,ORCL,2022-05-16
-1007.19,0.0,0.0,0.0,0.0,-1007.19,MRK,2022-05-24
-727.15,0.0,0.0,0.0,0.0,-727.15,XLI,2022-05-09
-237.29,0.0,0.0,0.0,0.0,-237.29,RTX,2022-05-09
-1002.7,0.0,0.0,0.0,0.0,-1002.7,XLE,2022-06-13
-1096.23,0.0,0.0,0.0,0.0,-1096.23,SLV,2022-05-09
-893.16,0.0,0.0,0.0,0.0,-893.16,CVX,2022-06-20
2142.98,0.0,0.0,0.0,0.0,2142.98,NVDA,2022-07-01
119.69,0.0,0.0,0.0,0.0,119.69,PFE,2022-06-20
1184.04,0.0,0.0,0.0,0.0,1184.04,ISRG,2022-06-13
798.93,0.0,0.0,0.0,0.0,798.93,MSFT,2022-06-13
792.26,0.0,0.0,0.0,0.0,792.26,XLK,2022-06-13
1195.52,0.0,0.0,0.0,0.0,1195.52,DHR,2022-06-20
-586.27,0.0,0.0,0.0,0.0,-586.27,IWM,2022-08-08
-902.42,0.0,0.0,0.0,0.0,-902.42,MA,2022-08-15
-805.39,0.0,0.0,0.0,0.0,-805.39,GDX,2022-08-22
-234.43,0.0,0.0,0.0,0.0,-234.43,TLT,2022-06-13
-779.2,0.0,0.0,0.0,0.0,-779.2,HON,2022-09-05
-648.76,0.0,0.0,0.0,0.0,-648.76,XLI,2022-09-05
-777.14,0.0,0.0,0.0,0.0,-777.14,VTI,2022-08-30
-670.01,0.0,0.0,0.0,0.0,-670.01,NEE,2022-09-05
-705.82,0.0,0.0,0.0,0.0,-705.82,GLD,2022-07-06
-337.72,0.0,0.0,0.0,0.0,-337.72,HYG,2022-06-13
-908.08,0.0,0.0,0.0,0.0,-908.08,ORCL,2022-09-16
-882.06,0.0,0.0,0.0,0.0,-882.06,KO,2022-08-31
-538.22,0.0,0.0,0.0,0.0,-538.22,NVDA,2022-09-26
533.27,0.0,0.0,0.0,0.0,533.27,UNH,2022-06-13
-957.32,0.0,0.0,0.0,0.0,-957.32,TLT,2022-09-26
1926.9,0.0,0.0,0.0,0.0,1926.9,COP,2022-09-26
1330.46,0.0,0.0,0.0,0.0,1330.46,TSLA,2022-12-20
243.95,0.0,0.0,0.0,0.0,243.95,AMZN,2022-11-29
-299.11,0.0,0.0,0.0,0.0,-299.11,LMT,2022-10-21
1006.81,0.0,0.0,0.0,0.0,1006.81,SCHW,2022-10-17
591.59,0.0,0.0,0.0,0.0,591.59,MCD,2022-09-27
1795.65,0.0,0.0,0.0,0.0,1795.65,MRK,2022-08-29
-16.31,0.0,0.0,0.0,0.0,-16.31,LLY,2022-09-28
-672.15,0.0,0.0,0.0,0.0,-672.15,CAT,2023-01-24
-490.18,0.0,0.0,0.0,0.0,-490.18,BAC,2023-01-16
-901.15,0.0,0.0,0.0,0.0,-901.15,TSLA,2023-03-02
-952.36,0.0,0.0,0.0,0.0,-952.36,AMZN,2023-03-01
536.68,0.0,0.0,0.0,0.0,536.68,JNJ,2022-11-18
-458.6,0.0,0.0,0.0,0.0,-458.6,ABBV,2023-03-01
-580.3,0.0,0.0,0.0,0.0,-580.3,MRK,2023-02-17
90.56,0.0,0.0,0.0,0.0,90.56,BLK,2023-02-21
-730.09,0.0,0.0,0.0,0.0,-730.09,AAPL,2023-04-04
884.26,0.0,0.0,0.0,0.0,884.26,RTX,2022-09-06
-231.94,0.0,0.0,0.0,0.0,-231.94,ABT,2023-02-22
662.4,0.0,0.0,0.0,0.0,662.4,MS,2023-01-20
-1008.81,0.0,0.0,0.0,0.0,-1008.81,NVDA,2023-06-09
-75.08,0.0,0.0,0.0,0.0,-75.08,TSLA,2023-06-20
-900.65,0.0,0.0,0.0,0.0,-900.65,MA,2023-05-23
-573.74,0.0,0.0,0.0,0.0,-573.74,AMZN,2023-06-06
-898.53,0.0,0.0,0.0,0.0,-898.53,JPM,2023-07-03
124.53,0.0,0.0,0.0,0.0,124.53,HON,2023-03-17
8971.25,0.0,0.0,0.0,0.0,8971.25,AVGO,2022-10-10
-754.29,0.0,0.0,0.0,0.0,-754.29,NKE,2023-05-23
572.96,0.0,0.0,0.0,0.0,572.96,TSLA,2023-07-21
-754.03,0.0,0.0,0.0,0.0,-754.03,KO,2022-11-28
-366.71,0.0,0.0,0.0,0.0,-366.71,SCHW,2023-08-22
-894.77,0.0,0.0,0.0,0.0,-894.77,NEE,2023-08-07
-197.61,0.0,0.0,0.0,0.0,-197.61,LQD,2022-09-27
2477.21,0.0,0.0,0.0,0.0,2477.21,CAT,2023-05-31
-683.72,0.0,0.0,0.0,0.0,-683.72,XLV,2023-02-06
-997.23,0.0,0.0,0.0,0.0,-997.23,ABBV,2023-09-18
-770.75,0.0,0.0,0.0,0.0,-770.75,AAPL,2023-10-20
907.85,0.0,0.0,0.0,0.0,907.85,WMT,2023-02-06
-242.63,0.0,0.0,0.0,0.0,-242.63,ORCL,2023-09-26
-921.76,0.0,0.0,0.0,0.0,-921.76,COST,2023-11-27
-1008.8,0.0,0.0,0.0,0.0,-1008.8,HD,2023-12-04
-1008.78,0.0,0.0,0.0,0.0,-1008.78,NVDA,2023-12-04
-1008.8,0.0,0.0,0.0,0.0,-1008.8,META,2023-12-06
-837.0,0.0,0.0,0.0,0.0,-837.0,ISRG,2023-11-21
-838.72,0.0,0.0,0.0,0.0,-838.72,AMZN,2023-11-27
764.07,0.0,0.0,0.0,0.0,764.07,UPS,2023-10-27
-1879.81,0.0,0.0,0.0,0.0,-1879.81,META,2024-01-19
-584.33,0.0,0.0,0.0,0.0,-584.33,LMT,2023-10-09
