strategy,exit_method,confidence_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
lead_lag_sector_rotation,atr_trail_1x,HIGH,1,0.0,-1.1615,-1.1615
lead_lag_sector_rotation,atr_trail_1x,LOW,3,0.0,-1.5880333333333334,-4.7641
lead_lag_sector_rotation,atr_trail_1x,VERY_HIGH,1,1.0,1.4098,1.4098
lead_lag_sector_rotation,atr_trail_2x,HIGH,1,1.0,11.7821,11.7821
lead_lag_sector_rotation,atr_trail_2x,LOW,3,0.6666666666666666,1.8768666666666667,5.6306
lead_lag_sector_rotation,atr_trail_2x,VERY_HIGH,1,1.0,2.7633,2.7633
lead_lag_sector_rotation,atr_trail_mae_conditional,HIGH,1,0.0,-1.1615,-1.1615
lead_lag_sector_rotation,atr_trail_mae_conditional,LOW,3,0.0,-1.5880333333333334,-4.7641
lead_lag_sector_rotation,atr_trail_mae_conditional,VERY_HIGH,1,1.0,1.4098,1.4098
lead_lag_sector_rotation,atr_trail_vix_conditional,HIGH,1,0.0,-0.9385,-0.9385
lead_lag_sector_rotation,atr_trail_vix_conditional,LOW,3,0.0,-1.5880333333333334,-4.7641
lead_lag_sector_rotation,atr_trail_vix_conditional,VERY_HIGH,1,1.0,0.6369,0.6369
lead_lag_sector_rotation,break_even_at_1r,HIGH,1,1.0,11.7821,11.7821
lead_lag_sector_rotation,break_even_at_1r,LOW,3,0.0,-1.3333333333333333,-4.0
lead_lag_sector_rotation,break_even_at_1r,VERY_HIGH,1,1.0,8.575,8.575
lead_lag_sector_rotation,breakeven_plus_trail,HIGH,1,1.0,11.7821,11.7821
lead_lag_sector_rotation,breakeven_plus_trail,LOW,3,1.0,7.0779,21.2337
lead_lag_sector_rotation,breakeven_plus_trail,VERY_HIGH,1,1.0,8.575,8.575
lead_lag_sector_rotation,chandelier_3x,HIGH,1,1.0,11.7821,11.7821
lead_lag_sector_rotation,chandelier_3x,LOW,3,0.3333333333333333,0.7149666666666666,2.1449
lead_lag_sector_rotation,chandelier_3x,VERY_HIGH,1,1.0,8.575,8.575
lead_lag_sector_rotation,class_time_stop,HIGH,1,1.0,10.3377,10.3377
lead_lag_sector_rotation,class_time_stop,LOW,3,1.0,7.0779,21.2337
lead_lag_sector_rotation,class_time_stop,VERY_HIGH,1,1.0,7.2535,7.2535
