strategy,sector,sector_criteria,direction_mix,total_trades,win_rate,win_rate_ci_low,win_rate_ci_high,statistically_random,profit_factor,expected_value,win_loss_ratio,avg_win_pct,avg_loss_pct,max_drawdown_pct,total_roi_pct,sharpe_ratio,calmar_ratio,kelly,avg_hold_days,best_trade_pct,worst_trade_pct,smart_money_lift,macro_correlation,regimes_profitable,regime_verdicts,best_regimes,passes_all,audit_flags,category,spy_benchmark_return,vs_benchmark,beats_benchmark,regime_bear_correction_2022,regime_rate_rising_2022_2023,regime_strong_bull_2023,regime_rate_falling_2024,regime_ai_sector_bull_2024,regime_tariff_shock_2025,regime_ai_divergence_2025_2026,regime_covid_crisis_2020
golden_cross_50_200,Commodities,low_volatility,15L/3S,18,0.6667,0.4375,0.8372,True,5.6465,8.6373,2.8232,15.7443,-5.5767,-9.1152,155.4718,0.401,0.945,"{'full_kelly_pct': 54.86, 'quarter_kelly_pct': 13.71, 'note': 'tier_may_be_undersizing'}",252.7,88.694,-9.1152,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_5.65_exceeds_audit_threshold', 'ci_lower_43.8pct_may_be_random']",trend,75.15,80.3218,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_fib_confluence,Fixed Income,low_volatility,6L/0S,6,0.6667,0.3,0.9032,True,4.4814,8.0626,2.2407,15.5678,-6.9477,-4.2104,48.3755,0.495,1.268,"{'full_kelly_pct': 51.79, 'quarter_kelly_pct': 12.95, 'note': 'tier_may_be_undersizing'}",380.5,36.5607,-9.6851,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_4.48_exceeds_audit_threshold', 'ci_lower_30.0pct_may_be_random']",confluence,75.15,-26.7745,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
prev_day_low_bounce,Fixed Income,low_volatility,11L/7S,18,0.5556,0.3372,0.7544,True,1.9323,2.0592,1.5458,7.6822,-4.9697,-16.9846,37.0652,0.3,0.17,"{'full_kelly_pct': 26.8, 'quarter_kelly_pct': 6.7, 'note': 'reasonable'}",179.6,15.3026,-10.2397,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.93_exceeds_audit_threshold', 'ci_lower_33.7pct_may_be_random']",pivot,75.15,-38.0848,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
supertrend_ichimoku_adx,Information Technology,high_volatility,37L/0S,37,0.5405,0.3838,0.6896,True,2.3185,4.3289,1.9707,14.0824,-7.1457,-41.3546,160.1701,0.327,0.168,"{'full_kelly_pct': 30.74, 'quarter_kelly_pct': 7.69, 'note': 'reasonable'}",156.7,66.3856,-11.0827,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.32_exceeds_audit_threshold', 'ci_lower_38.4pct_may_be_random']",confluence,75.15,85.0201,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
inside_bar_breakout,Energy,high_volatility,49L/0S,49,0.5306,0.3938,0.663,True,3.6912,7.3938,3.2653,19.1122,-5.8531,-35.2448,362.2947,0.475,0.313,"{'full_kelly_pct': 38.69, 'quarter_kelly_pct': 9.67, 'note': 'tier_may_be_undersizing'}",169.0,73.5864,-11.3429,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_3.69_exceeds_audit_threshold', 'ci_lower_39.4pct_may_be_random']",breakout,75.15,287.1447,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
three_white_soldiers,Energy,high_volatility,33L/0S,33,0.5152,0.3522,0.675,True,1.7104,2.4534,1.6098,11.4661,-7.1227,-21.3514,80.9615,0.273,0.179,"{'full_kelly_pct': 21.4, 'quarter_kelly_pct': 5.35, 'note': 'reasonable'}",161.5,26.9468,-11.5648,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_1.71_exceeds_audit_threshold', 'ci_lower_35.2pct_may_be_random']",candle,75.15,5.8115,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
rsi21_slow,Consumer Staples,low_volatility,1L/3S,4,0.5,0.15,0.85,True,4.0022,4.9608,4.0022,13.2263,-3.3048,-1.8918,19.843,0.518,4.196,"{'full_kelly_pct': 37.51, 'quarter_kelly_pct': 9.38, 'note': 'tier_may_be_undersizing'}",157.5,22.2354,-4.7177,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_4.00_exceeds_audit_threshold', 'ci_lower_15.0pct_may_be_random']",mean_reversion,75.15,-55.307,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
pivot_s3_capitulation,Consumer Staples,low_volatility,4L/0S,4,0.5,0.15,0.85,True,0.6493,-0.616,0.6493,2.2815,-3.5135,-4.5292,-2.4641,-0.198,-0.171,"{'full_kelly_pct': -27.0, 'quarter_kelly_pct': 0.0, 'note': 'negative_edge'}",200.8,2.9255,-4.5292,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,['ci_lower_15.0pct_may_be_random'],pivot,75.15,-77.6141,False,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
golden_cross_20_50,Information Technology,high_volatility,17L/8S,25,0.48,0.3003,0.665,True,2.5742,5.0782,2.7887,17.3002,-6.2037,-41.9939,126.9547,0.249,0.124,"{'full_kelly_pct': 29.35, 'quarter_kelly_pct': 7.34, 'note': 'reasonable'}",246.7,90.2036,-13.9159,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.57_exceeds_audit_threshold', 'ci_lower_30.0pct_may_be_random']",trend,75.15,51.8047,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
ultimate_oscillator,Energy,high_volatility,22L/3S,25,0.44,0.2667,0.6293,True,2.257,3.7254,2.8726,15.2024,-5.2922,-19.4248,93.1352,0.263,0.401,"{'full_kelly_pct': 24.51, 'quarter_kelly_pct': 6.13, 'note': 'reasonable'}",120.4,95.6242,-10.2476,,,0,"{'bear_correction_2022': 'INSUFFICIENT_DATA', 'rate_rising_2022_2023': 'INSUFFICIENT_DATA', 'strong_bull_2023': 'INSUFFICIENT_DATA', 'rate_falling_2024': 'INSUFFICIENT_DATA', 'ai_sector_bull_2024': 'INSUFFICIENT_DATA', 'tariff_shock_2025': 'INSUFFICIENT_DATA', 'ai_divergence_2025_2026': 'INSUFFICIENT_DATA', 'covid_crisis_2020': 'INSUFFICIENT_DATA'}",[],False,"['profit_factor_2.26_exceeds_audit_threshold', 'ci_lower_26.7pct_may_be_random']",momentum,75.15,17.9852,True,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA,INSUFFICIENT_DATA
