strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed
adx_initiation,bull,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
adx_initiation,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
avwap_252_breakout,bull,Materials,INSUFFICIENT_SAMPLE,0,1,1,False
avwap_50_reclaim,bull,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False
avwap_50_reclaim,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,3,3,False
avwap_50_reclaim,bull,Health Care,INSUFFICIENT_SAMPLE,0,3,3,False
avwap_50_reclaim,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
avwap_50_reclaim,bull,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
bollinger_tight,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
bollinger_tight,bull,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False
break_retest_volume,bull,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False
buyback_8k_recent_long,bull,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
cmf_flip,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
cpr_narrow_bullish,bull,Communication Services,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,4,4,False
cpr_narrow_bullish,bull,Financials,INSUFFICIENT_SAMPLE,0,4,4,False
cpr_narrow_bullish,bull,Health Care,INSUFFICIENT_SAMPLE,0,5,5,False
cpr_narrow_bullish,bull,Industrials,INSUFFICIENT_SAMPLE,0,10,10,False
cpr_narrow_bullish,bull,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False
cpr_narrow_bullish,bull,Materials,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,bull,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
donchian_10_breakout,bull,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,bull,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,bull,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,bull,Industrials,INSUFFICIENT_SAMPLE,0,1,1,False
htf_aligned_breakout_long,bull,Unknown,INSUFFICIENT_SAMPLE,0,1,1,False
hull_rsi,bull,Real Estate,INSUFFICIENT_SAMPLE,0,1,1,False
ichimoku_cloud_breakout,bull,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False
ichimoku_cloud_breakout,bull,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
ichimoku_cloud_breakout,bull,Industrials,INSUFFICIENT_SAMPLE,0,2,2,False
ichimoku_cloud_breakout,bull,Materials,INSUFFICIENT_SAMPLE,0,3,3,False
ichimoku_cloud_breakout,bull,Unknown,INSUFFICIENT_SAMPLE,0,2,2,False
