strategy,exit_method,days_from_quarter_end_at_entry,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_tight,atr_trail_1x,59,1,0.0,-3.294,-3.294
bollinger_tight,atr_trail_1x,63,1,0.0,-2.6457,-2.6457
bollinger_tight,atr_trail_1x,65,1,0.0,-4.1038,-4.1038
bollinger_tight,atr_trail_1x,70,1,0.0,-2.1045,-2.1045
bollinger_tight,atr_trail_1x,73,1,0.0,-3.3915,-3.3915
bollinger_tight,atr_trail_1x,74,2,0.0,-2.4761,-4.9522
bollinger_tight,atr_trail_2x,59,1,0.0,-7.7489,-7.7489
bollinger_tight,atr_trail_2x,63,1,0.0,-8.8292,-8.8292
bollinger_tight,atr_trail_2x,65,1,0.0,-6.4405,-6.4405
bollinger_tight,atr_trail_2x,70,1,0.0,-4.2089,-4.2089
bollinger_tight,atr_trail_2x,73,1,0.0,-4.7165,-4.7165
bollinger_tight,atr_trail_2x,74,2,0.0,-5.1056,-10.2112
bollinger_tight,break_even_at_1r,59,1,0.0,-3.294,-3.294
bollinger_tight,break_even_at_1r,63,1,0.0,-2.9202,-2.9202
bollinger_tight,break_even_at_1r,65,1,0.0,-4.1038,-4.1038
bollinger_tight,break_even_at_1r,70,1,0.0,-2.1045,-2.1045
bollinger_tight,break_even_at_1r,73,1,0.0,-3.3915,-3.3915
bollinger_tight,break_even_at_1r,74,2,0.0,-2.2538,-4.5076
bollinger_tight,breakeven_plus_trail,59,1,0.0,-6.588,-6.588
bollinger_tight,breakeven_plus_trail,63,1,0.0,-5.8404,-5.8404
bollinger_tight,breakeven_plus_trail,65,1,0.0,-8.2077,-8.2077
bollinger_tight,breakeven_plus_trail,70,1,0.0,-4.2089,-4.2089
bollinger_tight,breakeven_plus_trail,73,1,0.0,-5.7256,-5.7256
bollinger_tight,breakeven_plus_trail,74,2,0.0,-4.5076,-9.0152
bollinger_tight,class_time_stop,59,1,1.0,7.9035,7.9035
bollinger_tight,class_time_stop,63,1,1.0,7.3615,7.3615
bollinger_tight,class_time_stop,65,1,0.0,-18.2505,-18.2505
bollinger_tight,class_time_stop,70,1,0.0,-3.7306,-3.7306
bollinger_tight,class_time_stop,73,1,1.0,0.3593,0.3593
bollinger_tight,class_time_stop,74,2,0.5,-9.226700000000001,-18.453400000000002
bollinger_tight,earnings_blackout,59,1,1.0,7.9035,7.9035
bollinger_tight,earnings_blackout,63,1,1.0,7.3615,7.3615
bollinger_tight,earnings_blackout,65,1,0.0,-18.2505,-18.2505
bollinger_tight,earnings_blackout,70,1,0.0,-3.5965,-3.5965
bollinger_tight,earnings_blackout,73,1,1.0,2.0879,2.0879
bollinger_tight,earnings_blackout,74,2,0.5,-16.63775,-33.2755
bollinger_tight,fixed_3r_2r,59,1,0.0,-7.7489,-7.7489
