strategy,exit_method,hold_duration_band,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,long_ge_11d,5,0.4,0.9302400000000001,4.6512
bollinger_lower,atr_trail_1x,medium_4_10d,2,0.0,-3.44025,-6.8805
bollinger_lower,atr_trail_2x,long_ge_11d,5,0.6,3.90412,19.520599999999998
bollinger_lower,atr_trail_2x,medium_4_10d,2,0.0,-11.5454,-23.0908
bollinger_lower,break_even_at_1r,long_ge_11d,5,0.2,5.66214,28.3107
bollinger_lower,break_even_at_1r,medium_4_10d,2,0.0,-4.34075,-8.6815
bollinger_lower,breakeven_plus_trail,long_ge_11d,5,0.6,13.42258,67.1129
bollinger_lower,breakeven_plus_trail,medium_4_10d,2,0.0,-8.681550000000001,-17.363100000000003
bollinger_lower,class_time_stop,long_ge_11d,5,0.8,6.2805599999999995,31.4028
bollinger_lower,class_time_stop,medium_4_10d,2,0.5,3.9714,7.9428
bollinger_lower,earnings_blackout,long_ge_11d,5,1.0,53.118100000000005,265.5905
bollinger_lower,earnings_blackout,medium_4_10d,2,1.0,121.4247,242.8494
bollinger_lower,fixed_4r_2r,long_ge_11d,5,0.6,3.3702199999999998,16.8511
bollinger_lower,fixed_4r_2r,medium_4_10d,2,0.0,-11.5454,-23.0908
bollinger_lower,hybrid_50pct_target,long_ge_11d,5,0.8,7.47478,37.3739
bollinger_lower,hybrid_50pct_target,medium_4_10d,2,0.0,-10.0,-20.0
bollinger_lower,ma_exit_ema9,long_ge_11d,5,0.8,0.9252800000000001,4.6264
bollinger_lower,ma_exit_ema9,medium_4_10d,2,0.5,0.1684,0.3368
bollinger_lower,next_pivot_target,long_ge_11d,5,0.8,0.5624399999999999,2.8122
bollinger_lower,next_pivot_target,medium_4_10d,2,0.0,-11.5454,-23.0908
bollinger_lower,r_multiple_2r,long_ge_11d,5,0.6,1.1142400000000001,5.5712
bollinger_lower,r_multiple_2r,medium_4_10d,2,0.0,-4.34075,-8.6815
bollinger_lower,r_multiple_3r,long_ge_11d,5,0.4,0.5636599999999998,2.818299999999999
bollinger_lower,r_multiple_3r,medium_4_10d,2,0.0,-4.34075,-8.6815
bollinger_lower,regime_flip,long_ge_11d,5,0.8,5.7471,28.7355
bollinger_lower,regime_flip,medium_4_10d,2,0.5,-0.1982999999999997,-0.3965999999999994
bollinger_lower,time_stop_10d,long_ge_11d,5,0.8,1.74558,8.7279
bollinger_lower,time_stop_10d,medium_4_10d,2,0.5,2.26455,4.5291
bollinger_lower,time_stop_20d,long_ge_11d,5,0.8,5.7471,28.7355
bollinger_lower,time_stop_20d,medium_4_10d,2,0.5,-0.1982999999999997,-0.3965999999999994
bollinger_lower,trailing_10pct,long_ge_11d,5,0.6,11.37584,56.8792
bollinger_lower,trailing_10pct,medium_4_10d,2,0.0,-11.5454,-23.0908
bollinger_lower,trailing_15pct,long_ge_11d,5,0.6,33.48298,167.4149
bollinger_lower,trailing_15pct,medium_4_10d,2,0.5,14.15555,28.3111
bollinger_lower,trailing_5pct,long_ge_11d,5,0.4,7.4327,37.1635
bollinger_lower,trailing_5pct,medium_4_10d,2,0.0,-4.09425,-8.1885
bollinger_tight,atr_trail_1x,long_ge_11d,19,0.3157894736842105,-0.5701105263157895,-10.8321
bollinger_tight,atr_trail_1x,medium_4_10d,2,0.5,1.0319500000000001,2.0639000000000003
bollinger_tight,atr_trail_2x,long_ge_11d,19,0.3684210526315789,5.584378947368421,106.1032
bollinger_tight,atr_trail_2x,medium_4_10d,2,0.5,-3.2824,-6.5648
bollinger_tight,break_even_at_1r,long_ge_11d,19,0.10526315789473684,4.045194736842105,76.8587
bollinger_tight,break_even_at_1r,medium_4_10d,2,0.0,0.0,0.0
bollinger_tight,breakeven_plus_trail,long_ge_11d,19,0.3684210526315789,8.402342105263157,159.6445
