strategy,exit_method,universe_tier,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,T1a,5,0.4,0.9302400000000001,4.6512
bollinger_lower,atr_trail_1x,T1c,2,0.0,-3.44025,-6.8805
bollinger_lower,atr_trail_2x,T1a,5,0.6,3.90412,19.520599999999998
bollinger_lower,atr_trail_2x,T1c,2,0.0,-11.5454,-23.0908
bollinger_lower,break_even_at_1r,T1a,5,0.2,5.66214,28.3107
bollinger_lower,break_even_at_1r,T1c,2,0.0,-4.34075,-8.6815
bollinger_lower,breakeven_plus_trail,T1a,5,0.6,13.42258,67.1129
bollinger_lower,breakeven_plus_trail,T1c,2,0.0,-8.681550000000001,-17.363100000000003
bollinger_lower,class_time_stop,T1a,5,0.8,6.2805599999999995,31.4028
bollinger_lower,class_time_stop,T1c,2,0.5,3.9714,7.9428
bollinger_lower,earnings_blackout,T1a,5,1.0,53.118100000000005,265.5905
bollinger_lower,earnings_blackout,T1c,2,1.0,121.4247,242.8494
bollinger_lower,fixed_4r_2r,T1a,5,0.6,3.3702199999999998,16.8511
bollinger_lower,fixed_4r_2r,T1c,2,0.0,-11.5454,-23.0908
bollinger_lower,hybrid_50pct_target,T1a,5,0.8,7.47478,37.3739
bollinger_lower,hybrid_50pct_target,T1c,2,0.0,-10.0,-20.0
bollinger_lower,ma_exit_ema9,T1a,5,0.8,0.9252800000000001,4.6264
bollinger_lower,ma_exit_ema9,T1c,2,0.5,0.1684,0.3368
bollinger_lower,next_pivot_target,T1a,5,0.8,0.5624399999999999,2.8122
bollinger_lower,next_pivot_target,T1c,2,0.0,-11.5454,-23.0908
bollinger_lower,r_multiple_2r,T1a,5,0.6,1.1142400000000001,5.5712
bollinger_lower,r_multiple_2r,T1c,2,0.0,-4.34075,-8.6815
bollinger_lower,r_multiple_3r,T1a,5,0.4,0.5636599999999998,2.818299999999999
bollinger_lower,r_multiple_3r,T1c,2,0.0,-4.34075,-8.6815
bollinger_lower,regime_flip,T1a,5,0.8,5.7471,28.7355
bollinger_lower,regime_flip,T1c,2,0.5,-0.1982999999999997,-0.3965999999999994
bollinger_lower,time_stop_10d,T1a,5,0.8,1.74558,8.7279
bollinger_lower,time_stop_10d,T1c,2,0.5,2.26455,4.5291
bollinger_lower,time_stop_20d,T1a,5,0.8,5.7471,28.7355
bollinger_lower,time_stop_20d,T1c,2,0.5,-0.1982999999999997,-0.3965999999999994
bollinger_lower,trailing_10pct,T1a,5,0.6,11.37584,56.8792
bollinger_lower,trailing_10pct,T1c,2,0.0,-11.5454,-23.0908
bollinger_lower,trailing_15pct,T1a,5,0.6,33.48298,167.4149
bollinger_lower,trailing_15pct,T1c,2,0.5,14.15555,28.3111
bollinger_lower,trailing_5pct,T1a,5,0.4,7.4327,37.1635
bollinger_lower,trailing_5pct,T1c,2,0.0,-4.09425,-8.1885
bollinger_tight,atr_trail_1x,T1a,4,0.25,-1.346225,-5.3849
bollinger_tight,atr_trail_1x,T1c,17,0.35294117647058826,-0.19901764705882355,-3.3833
bollinger_tight,atr_trail_2x,T1a,4,0.25,-0.9655750000000001,-3.8623000000000003
bollinger_tight,atr_trail_2x,T1c,17,0.4117647058823529,6.082394117647059,103.4007
bollinger_tight,break_even_at_1r,T1a,4,0.0,-0.7636499999999999,-3.0545999999999998
bollinger_tight,break_even_at_1r,T1c,17,0.11764705882352941,4.700782352941177,79.9133
bollinger_tight,breakeven_plus_trail,T1a,4,0.0,0.0,0.0
bollinger_tight,breakeven_plus_trail,T1c,17,0.4117647058823529,8.63935294117647,146.869
bollinger_tight,class_time_stop,T1a,4,0.75,8.679875000000001,34.719500000000004
bollinger_tight,class_time_stop,T1c,17,0.4117647058823529,1.3143294117647057,22.3436
bollinger_tight,earnings_blackout,T1a,4,1.0,80.98195,323.9278
bollinger_tight,earnings_blackout,T1c,17,0.9411764705882353,214.95520000000002,3654.2384
bollinger_tight,fixed_4r_2r,T1a,4,0.5,2.3278749999999997,9.311499999999999
bollinger_tight,fixed_4r_2r,T1c,17,0.4117647058823529,4.624417647058824,78.6151
bollinger_tight,hybrid_50pct_target,T1a,4,1.0,12.12785,48.5114
bollinger_tight,hybrid_50pct_target,T1c,17,0.4117647058823529,2.0647411764705876,35.10059999999999
bollinger_tight,ma_exit_ema9,T1a,4,0.25,-0.7310749999999999,-2.9242999999999997
bollinger_tight,ma_exit_ema9,T1c,17,0.6470588235294118,2.4030411764705883,40.8517
bollinger_tight,next_pivot_target,T1a,4,1.0,3.6575749999999996,14.630299999999998
bollinger_tight,next_pivot_target,T1c,17,1.0,3.3312764705882354,56.6317
bollinger_tight,r_multiple_2r,T1a,4,0.5,1.6692749999999998,6.677099999999999
bollinger_tight,r_multiple_2r,T1c,17,0.5294117647058824,3.2629176470588237,55.4696
bollinger_tight,r_multiple_3r,T1a,4,0.5,3.1043250000000002,12.417300000000001
bollinger_tight,r_multiple_3r,T1c,17,0.35294117647058826,3.3031117647058825,56.1529
bollinger_tight,regime_flip,T1a,4,1.0,8.59125,34.365
bollinger_tight,regime_flip,T1c,17,0.5294117647058824,3.0860882352941172,52.463499999999996
bollinger_tight,time_stop_10d,T1a,4,0.5,1.1815250000000002,4.726100000000001
bollinger_tight,time_stop_10d,T1c,17,0.47058823529411764,2.7346588235294114,46.4892
bollinger_tight,time_stop_20d,T1a,4,1.0,8.59125,34.365
bollinger_tight,time_stop_20d,T1c,17,0.5294117647058824,3.0860882352941172,52.463499999999996
bollinger_tight,trailing_10pct,T1a,4,0.25,8.751875,35.0075
bollinger_tight,trailing_10pct,T1c,17,0.29411764705882354,5.181435294117647,88.0844
bollinger_tight,trailing_15pct,T1a,4,0.5,45.602725,182.4109
bollinger_tight,trailing_15pct,T1c,17,0.4117647058823529,13.251211764705882,225.2706
bollinger_tight,trailing_5pct,T1a,4,0.25,0.04910000000000003,0.19640000000000013
bollinger_tight,trailing_5pct,T1c,17,0.17647058823529413,-1.1994176470588236,-20.3901
break_retest_confluence,atr_trail_1x,T1a,1,0.0,-1.834,-1.834
break_retest_confluence,atr_trail_1x,T1c,4,0.75,0.062975,0.2519
break_retest_confluence,atr_trail_2x,T1a,1,0.0,-4.9855,-4.9855
break_retest_confluence,atr_trail_2x,T1c,4,0.5,3.07855,12.3142
break_retest_confluence,break_even_at_1r,T1a,1,0.0,-2.7479,-2.7479
break_retest_confluence,break_even_at_1r,T1c,4,0.25,2.503775,10.0151
break_retest_confluence,breakeven_plus_trail,T1a,1,0.0,-5.4958,-5.4958
break_retest_confluence,breakeven_plus_trail,T1c,4,0.25,5.84455,23.3782
break_retest_confluence,class_time_stop,T1a,1,0.0,-13.2631,-13.2631
break_retest_confluence,class_time_stop,T1c,4,0.75,5.327075000000001,21.308300000000003
break_retest_confluence,earnings_blackout,T1a,1,1.0,85.7894,85.7894
