strategy,exit_method,vol_band,n,win_rate,avg_pnl_pct,total_pnl_pct
bollinger_lower,atr_trail_1x,crisis_atr_ge_5pct,7,0.14285714285714285,-4.248442857142857,-29.7391
bollinger_lower,atr_trail_1x,high_atr_2.5_5pct,49,0.1836734693877551,-1.2957530612244899,-63.4919
bollinger_lower,atr_trail_1x,low_atr_lt_1pct,2,0.5,-0.19235,-0.3847
bollinger_lower,atr_trail_1x,mid_atr_1_2.5pct,35,0.22857142857142856,-0.48392285714285715,-16.9373
bollinger_lower,atr_trail_2x,crisis_atr_ge_5pct,7,0.0,-6.813771428571428,-47.6964
bollinger_lower,atr_trail_2x,high_atr_2.5_5pct,49,0.42857142857142855,1.117969387755102,54.780499999999996
bollinger_lower,atr_trail_2x,low_atr_lt_1pct,2,0.5,-0.50905,-1.0181
bollinger_lower,atr_trail_2x,mid_atr_1_2.5pct,35,0.34285714285714286,1.0094314285714285,35.3301
bollinger_lower,break_even_at_1r,crisis_atr_ge_5pct,7,0.0,-5.276071428571428,-36.9325
bollinger_lower,break_even_at_1r,high_atr_2.5_5pct,49,0.10204081632653061,-1.000073469387755,-49.0036
bollinger_lower,break_even_at_1r,low_atr_lt_1pct,2,0.5,-0.19235,-0.3847
bollinger_lower,break_even_at_1r,mid_atr_1_2.5pct,35,0.08571428571428572,0.5052885714285714,17.6851
bollinger_lower,breakeven_plus_trail,crisis_atr_ge_5pct,7,0.14285714285714285,-6.176342857142857,-43.2344
bollinger_lower,breakeven_plus_trail,high_atr_2.5_5pct,49,0.46938775510204084,6.697534693877552,328.17920000000004
bollinger_lower,breakeven_plus_trail,low_atr_lt_1pct,2,0.5,-0.50905,-1.0181
bollinger_lower,breakeven_plus_trail,mid_atr_1_2.5pct,35,0.2857142857142857,4.586877142857143,160.54070000000002
bollinger_lower,class_time_stop,crisis_atr_ge_5pct,7,0.14285714285714285,-7.372771428571428,-51.6094
bollinger_lower,class_time_stop,high_atr_2.5_5pct,49,0.6326530612244898,3.408618367346939,167.0223
bollinger_lower,class_time_stop,low_atr_lt_1pct,2,1.0,0.3255,0.651
bollinger_lower,class_time_stop,mid_atr_1_2.5pct,35,0.6285714285714286,3.2767485714285716,114.6862
bollinger_lower,earnings_blackout,crisis_atr_ge_5pct,7,1.0,488.1561571428571,3417.0931
bollinger_lower,earnings_blackout,high_atr_2.5_5pct,49,0.7959183673469388,61.03370612244898,2990.6516
bollinger_lower,earnings_blackout,low_atr_lt_1pct,2,1.0,0.8433499999999999,1.6866999999999999
bollinger_lower,earnings_blackout,mid_atr_1_2.5pct,35,0.7714285714285715,48.93046571428571,1712.5663
bollinger_lower,fixed_4r_2r,crisis_atr_ge_5pct,7,0.14285714285714285,-6.0123999999999995,-42.0868
