strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
cpr_narrow_bullish,atr_trail_1x,442,0.4819,2.5232,1.738,768.2097,-53.1784,12.9,49.28,True
hull_rsi,atr_trail_1x,426,0.4836,2.4518,1.6218,690.8994,-39.1152,12.4,49.34,True
supertrend_macd,atr_trail_1x,343,0.4519,2.3119,1.4345,492.0374,-62.5961,12.2,48.08,True
force_index_breakout,atr_trail_2x,286,0.5,2.1693,2.0579,588.5693,-34.9352,28.5,50.0,True
cpr_narrow_momentum,atr_trail_1x,365,0.4877,2.5455,1.6716,610.1178,-56.0381,12.6,49.51,True
macd_crossover,atr_trail_1x,206,0.5049,3.1365,2.0172,415.5364,-24.3462,13.3,50.2,True
macd_ichimoku,atr_trail_1x,173,0.5029,3.1532,1.9075,330.0026,-22.9446,13.5,50.12,True
ichimoku_tk_cross,atr_trail_1x,196,0.5204,3.0445,1.8014,353.0734,-20.9628,12.6,50.82,True
ichimoku_cloud_breakout,atr_trail_1x,252,0.4206,2.031,1.0763,271.2339,-37.009,11.9,46.82,True
inside_bar_breakout,trailing_15pct,168,0.4762,2.2677,6.5293,1096.9261,-202.0001,185.1,49.05,True
macd_fast_crossover,atr_trail_1x,190,0.5158,2.512,1.5394,292.4873,-34.6986,11.6,50.63,True
golden_cross_9_21,atr_trail_1x,191,0.4764,2.1445,1.2609,240.8383,-19.0936,13.4,50.42,True
golden_cross_20_50,next_pivot_target,126,0.8095,1.6581,0.7425,93.551,-28.6243,11.8,52.12,True
pivot_r2_continuation,trailing_15pct,194,0.433,1.9748,5.4974,1066.4954,-282.4427,179.6,46.56,True
supertrend_ichimoku_adx,hybrid_50pct_target,101,0.7426,2.6882,4.3082,435.1271,-55.3867,105.0,59.7,True
shooting_star_short,next_pivot_target,90,0.7667,0.6057,-0.92,-82.8025,-119.6303,18.0,30.67,True
camarilla_r3_breakout,hybrid_50pct_target,162,0.6914,2.0867,3.288,532.6531,-125.8183,101.0,57.66,True
roc_burst,atr_trail_1x,125,0.576,3.7328,2.3366,292.0712,-11.4119,13.0,65.92,True
pivot_r1_breakout,atr_trail_1x,197,0.5127,2.4046,1.3148,259.0066,-19.1659,11.5,51.76,True
prev_day_high_break,atr_trail_1x,205,0.4976,2.4172,1.2628,258.871,-13.9001,11.5,59.05,True
golden_cross_50_200,atr_trail_1x,81,0.3951,1.652,0.6409,51.9142,-15.1819,10.1,42.59,True
awesome_oscillator,atr_trail_1x,225,0.4889,2.1646,1.3267,298.5037,-22.3353,12.8,49.56,True
williams_r_oversold,atr_trail_1x,123,0.4472,2.6739,1.6714,205.5831,-21.4609,12.3,47.89,True
williams_stoch_dual,atr_trail_1x,208,0.4038,2.1786,1.2189,253.5379,-14.1262,10.4,54.96,True
stochrsi_oversold,atr_trail_1x,219,0.5114,2.9459,1.6895,369.9937,-13.044,12.1,60.89,True
adx_initiation,time_stop_20d,14,0.6429,3.4184,4.6384,64.9383,-13.3302,28.6,65.72,True
bollinger_tight,hybrid_50pct_target,268,0.6679,1.9109,3.022,809.8903,-166.746,103.1,54.04,True
morning_star,trailing_15pct,123,0.4878,3.0053,9.134,1123.4819,-277.3553,197.4,49.51,True
tema_dema,atr_trail_1x,209,0.5215,2.6335,1.6843,352.0227,-22.7433,13.0,50.86,True
three_white_soldiers,atr_trail_1x,168,0.5179,2.7944,1.6666,279.9874,-18.1057,12.8,53.56,True
mfi_oversold,atr_trail_1x,124,0.5645,3.9649,1.9694,244.2072,-13.0111,12.4,63.06,True
bollinger_lower,hybrid_50pct_target,190,0.6842,2.2278,3.8772,736.6656,-153.541,108.3,57.37,True
ultimate_oscillator,atr_trail_1x,26,0.5769,3.3094,1.9226,49.9883,-10.1884,12.4,67.79,True
ppo_crossover,atr_trail_1x,113,0.4513,2.1206,1.0293,116.3082,-13.4223,10.6,57.92,True
donchian_10_breakout,atr_trail_1x,77,0.4805,2.7859,1.3142,101.191,-6.8405,10.9,68.96,True
pivot_s1_bounce,atr_trail_1x,44,0.5455,2.8349,1.2118,53.3197,-4.367,9.8,75.27,True
bollinger_upper_short,next_pivot_target,40,0.65,0.3526,-2.2659,-90.6369,-115.4277,18.7,26.0,True
volume_spike_breakout,trailing_15pct,27,0.5556,3.6858,10.6778,288.301,-27.1397,231.5,52.22,True
pivot_fib_confluence,next_pivot_target,22,0.9545,2.8214,0.8279,18.2138,-10.0,7.7,83.18,True
cmf_flip,atr_trail_1x,86,0.5,2.2728,1.097,94.34,-13.4018,11.5,59.9,True
evening_star_short,ma_exit_ema9,18,0.5,0.7216,-0.2102,-3.7829,-5.2002,1.3,42.2,True
rsi_volume_200ema,ma_exit_ema9,14,0.7143,3.2929,0.6678,9.3495,-3.4723,2.9,83.36,True
stoch_oversold,breakeven_plus_trail,10,0.2,1.8755,3.1583,31.5828,-14.2793,30.7,42.85,True
prev_day_low_bounce,atr_trail_1x,28,0.5,3.6706,1.5812,44.2729,-4.0283,10.8,73.96,True
bullish_engulfing_support,trailing_15pct,27,0.4074,1.5107,3.2836,88.6564,-90.8725,177.8,31.62,True
pivot_s2_bounce,next_pivot_target,9,1.0,999.0,2.6062,23.4557,0.0,9.2,100.0,True
doji_at_support,ma_exit_ema9,5,0.6,3.4454,1.5051,7.5253,-2.067,12.6,80.9,True
