strategy,exit_method,trades,win_rate,profit_factor,avg_pnl_pct,total_roi_pct,max_drawdown_pct,avg_hold_days,composite_score,recommended
hull_rsi,earnings_blackout,17,0.6471,2.3892,81.0168,1377.2864,-791.8846,754.3,55.88,True
hull_rsi,next_pivot_target,17,0.7647,1.1881,0.4504,7.6567,-19.0147,7.8,37.71,False
hull_rsi,hybrid_50pct_target,17,0.5294,1.1712,0.8058,13.6986,-33.0638,34.7,26.31,False
hull_rsi,class_time_stop,17,0.4706,0.8409,-0.855,-14.5347,-48.3334,35.9,18.82,False
hull_rsi,regime_flip,17,0.4118,0.626,-2.2267,-37.8546,-53.7032,28.8,16.47,False
hull_rsi,time_stop_10d,17,0.4118,0.7919,-1.0011,-17.0185,-32.7571,14.4,16.47,False
hull_rsi,time_stop_20d,17,0.4118,0.626,-2.2267,-37.8546,-53.7032,28.8,16.47,False
hull_rsi,trailing_10pct,17,0.3529,0.5046,-2.7635,-46.9796,-54.3571,28.3,14.12,False
hull_rsi,atr_trail_2x,17,0.3529,0.4655,-2.5914,-44.0535,-51.2188,15.7,14.12,False
hull_rsi,r_multiple_2r,17,0.2941,0.8025,-0.6238,-10.6039,-25.3378,6.9,11.76,False
hull_rsi,fixed_4r_2r,17,0.2941,0.4801,-3.739,-63.5636,-86.7055,21.8,11.76,False
hull_rsi,trailing_15pct,17,0.2941,0.4036,-4.471,-76.0072,-88.8894,65.5,11.76,False
hull_rsi,trailing_5pct,17,0.2353,0.1413,-2.684,-45.628,-44.0269,8.0,9.41,False
hull_rsi,ma_exit_ema9,17,0.2353,0.4633,-1.7228,-29.288,-43.8618,6.8,9.41,False
hull_rsi,r_multiple_3r,17,0.2353,0.7039,-1.0491,-17.8351,-38.024,10.1,9.41,False
hull_rsi,breakeven_plus_trail,17,0.2353,0.3066,-3.581,-60.8762,-61.4963,17.8,9.41,False
hull_rsi,atr_trail_1x,17,0.1176,0.0796,-2.6938,-45.7939,-40.4616,3.5,4.7,False
hull_rsi,break_even_at_1r,17,0.0588,0.0488,-2.9725,-50.5326,-45.2003,7.4,2.35,False
cpr_narrow_bullish,time_stop_10d,45,0.6,2.1402,2.9334,132.005,-24.7241,14.6,54.0,True
cpr_narrow_bullish,r_multiple_2r,45,0.5333,2.0567,2.0495,92.2257,-19.7179,8.4,51.76,False
cpr_narrow_bullish,breakeven_plus_trail,45,0.4889,4.5863,8.3384,375.2277,-50.6605,50.6,49.56,False
cpr_narrow_bullish,r_multiple_3r,45,0.4667,2.3393,2.9377,132.1958,-33.938,13.5,48.67,False
cpr_narrow_bullish,next_pivot_target,45,0.8444,1.3256,0.4408,19.8371,-35.486,5.5,43.54,False
cpr_narrow_bullish,break_even_at_1r,45,0.1778,3.0774,2.8645,128.9029,-29.8495,16.3,37.11,False
cpr_narrow_bullish,fixed_4r_2r,45,0.4667,1.418,1.8437,82.9671,-78.0301,27.1,31.21,False
cpr_narrow_bullish,earnings_blackout,45,0.6222,0.5624,-53.4132,-2403.5936,-4402.179,793.5,24.89,False
cpr_narrow_bullish,time_stop_20d,45,0.6,0.2293,-19.8825,-894.7128,-1034.5358,31.8,24.0,False
cpr_narrow_bullish,hybrid_50pct_target,45,0.6,0.2292,-28.3693,-1276.6165,-1525.7275,129.9,24.0,False
cpr_narrow_bullish,regime_flip,45,0.6,0.2293,-19.8825,-894.7128,-1034.5358,31.8,24.0,False
cpr_narrow_bullish,class_time_stop,45,0.5333,0.2393,-19.2565,-866.5422,-1034.284,39.1,21.33,False
cpr_narrow_bullish,trailing_10pct,45,0.4889,0.3378,-19.9752,-898.8862,-1259.0945,54.4,19.56,False
cpr_narrow_bullish,atr_trail_2x,45,0.4,0.1744,-24.3814,-1097.1632,-1262.3506,23.4,16.0,False
cpr_narrow_bullish,trailing_15pct,45,0.4,0.4847,-16.4761,-741.4245,-1279.0342,124.0,16.0,False
cpr_narrow_bullish,ma_exit_ema9,45,0.3778,0.1116,-25.5441,-1149.4854,-1258.8245,14.1,15.11,False
cpr_narrow_bullish,trailing_5pct,45,0.3333,0.0846,-26.3089,-1183.8989,-1249.0742,15.7,13.33,False
cpr_narrow_bullish,atr_trail_1x,45,0.3333,0.4697,-0.6956,-31.3022,-34.0258,4.8,13.33,False
ichimoku_cloud_breakout,regime_flip,8,0.5,6.25,4.246,33.9678,-3.1835,28.5,75.22,True
ichimoku_cloud_breakout,time_stop_20d,8,0.5,6.25,4.246,33.9678,-3.1835,28.5,75.22,False
ichimoku_cloud_breakout,class_time_stop,8,0.625,3.6585,3.317,26.5364,-8.0445,35.8,72.93,False
ichimoku_cloud_breakout,time_stop_10d,8,0.625,1.7704,1.489,11.9119,-6.6664,14.4,68.11,False
ichimoku_cloud_breakout,breakeven_plus_trail,8,0.5,1.592,0.8715,6.9717,-4.0329,28.5,61.71,False
ichimoku_cloud_breakout,earnings_blackout,8,0.75,1.478,8.1746,65.3966,-92.607,611.8,44.34,False
ichimoku_cloud_breakout,ma_exit_ema9,8,0.25,0.5897,-0.7056,-5.6451,-9.9999,5.0,25.0,False
ichimoku_cloud_breakout,hybrid_50pct_target,8,0.625,0.523,-3.8287,-30.6298,-54.2196,103.0,25.0,False
ichimoku_cloud_breakout,next_pivot_target,8,0.5,0.2228,-3.9816,-31.853,-30.0,13.6,20.0,False
ichimoku_cloud_breakout,fixed_4r_2r,8,0.375,0.8189,-0.8221,-6.577,-31.7997,11.6,15.0,False
ichimoku_cloud_breakout,r_multiple_3r,8,0.25,0.6146,-1.0502,-8.4015,-17.4243,3.0,13.86,False
ichimoku_cloud_breakout,r_multiple_2r,8,0.25,0.4778,-1.423,-11.3844,-17.4243,2.6,13.86,False
ichimoku_cloud_breakout,atr_trail_1x,8,0.25,0.2306,-2.081,-16.6479,-17.4243,3.1,13.86,False
ichimoku_cloud_breakout,trailing_15pct,8,0.25,0.2439,-3.9832,-31.866,-18.3254,68.2,12.51,False
ichimoku_cloud_breakout,trailing_10pct,8,0.25,0.3319,-4.2738,-34.1902,-35.2631,42.8,10.0,False
ichimoku_cloud_breakout,trailing_5pct,8,0.125,0.2241,-2.8238,-22.5905,-23.1707,8.4,5.0,False
ichimoku_cloud_breakout,atr_trail_2x,8,0.125,0.1885,-4.0017,-32.0133,-34.9358,9.2,5.0,False
ichimoku_cloud_breakout,break_even_at_1r,8,0.0,0.0,-3.3416,-26.7328,-24.476,8.5,0.0,False
supertrend_macd,earnings_blackout,10,1.0,999.0,272.917,2729.1695,0.0,898.2,100.0,True
supertrend_macd,ma_exit_ema9,10,0.3,2.7804,2.2994,22.9937,-7.0981,5.8,61.35,False
supertrend_macd,r_multiple_2r,10,0.5,2.4062,3.6108,36.1083,-12.6386,10.1,61.04,False
supertrend_macd,r_multiple_3r,10,0.4,2.0851,3.6228,36.2277,-12.6386,17.6,57.04,False
supertrend_macd,atr_trail_2x,10,0.5,2.6809,5.4674,54.6735,-17.809,19.6,53.29,False
supertrend_macd,trailing_15pct,10,0.4,2.0353,6.0685,60.6853,-23.8315,96.2,46.0,False
supertrend_macd,breakeven_plus_trail,10,0.3,2.4059,3.8797,38.7972,-21.1984,35.4,42.0,False
