ticker,date,strategy,reason
SPY,2023-01-02,macd_fast_crossover,regime_affinity_block_bear_batch203
AAPL,2023-01-04,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c
AAPL,2023-01-05,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c
SPY,2023-01-05,r1_break_retest,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-05,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-06,force_index_breakout,EVENT_SUPPRESSION_NFP_d0_dec348
AAPL,2023-01-06,(any),correlation_cap_batch223_corr_0.90_with_SPY
AAPL,2023-01-09,(any),correlation_cap_batch223_corr_0.90_with_SPY
SPY,2023-01-09,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c
SPY,2023-01-11,golden_cross_9_21,regime_affinity_block_bear_batch203
SPY,2023-01-11,squeeze_breakout,regime_affinity_block_bear_batch203
SPY,2023-01-11,r1_break_retest,regime_affinity_block_bear_batch203
AAPL,2023-01-11,(any),correlation_cap_batch223_corr_0.90_with_SPY
SPY,2023-01-12,tema_dema,EVENT_SUPPRESSION_CPI_d0_dec348
SPY,2023-01-12,three_white_soldiers,EVENT_SUPPRESSION_CPI_d0_dec348
SPY,2023-01-12,stochrsi_overbought_short,EVENT_SUPPRESSION_CPI_d0_dec348
AAPL,2023-01-12,(any),correlation_cap_batch223_corr_0.90_with_SPY
AAPL,2023-01-13,(any),correlation_cap_batch223_corr_0.90_with_SPY
AAPL,2023-01-16,(any),correlation_cap_batch223_corr_0.90_with_SPY
SPY,2023-01-16,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c
SPY,2023-01-17,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c
SPY,2023-01-19,macd_fast_crossover,regime_affinity_block_bear_batch203
SPY,2023-01-19,stochrsi_overbought_short,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-20,macd_fast_crossover,regime_affinity_block_bear_batch203
SPY,2023-01-20,ichimoku_tk_cross,regime_affinity_block_bear_batch203
SPY,2023-01-20,force_index_breakout,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-01-20,(any),correlation_cap_batch223_corr_0.89_with_SPY
SPY,2023-01-23,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-23,avwap_50_reclaim,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-23,poc_magnet_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-23,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-01-23,(any),correlation_cap_batch223_corr_0.89_with_SPY
AAPL,2023-01-24,(any),correlation_cap_batch223_corr_0.88_with_SPY
SPY,2023-01-24,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-24,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-24,poc_magnet_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-25,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-25,po3_bullish,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-25,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-25,poc_magnet_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-25,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-25,stochrsi_overbought_short,regime_affinity_block_bull_batch203
AAPL,2023-01-25,(any),correlation_cap_batch223_corr_0.89_with_SPY
SPY,2023-01-26,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-26,r1_break_retest,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-26,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-26,break_retest_confluence,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-26,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-26,totm_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-26,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-01-26,(any),correlation_cap_batch223_corr_0.90_with_SPY
AAPL,2023-01-27,(any),correlation_cap_batch223_corr_0.89_with_SPY
SPY,2023-01-27,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-27,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-31,pre_fomc_long_sleeve,regime_affinity_block_bull_batch203
SPY,2023-01-31,pre_fomc_quality_momentum_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-01-31,xs_momentum_top_decile,EVENT_SUPPRESSION_FOMC_d1_dec348
SPY,2023-01-31,naked_poc_retest_long,EVENT_SUPPRESSION_FOMC_d1_dec348
AAPL,2023-01-31,(any),correlation_cap_batch223_corr_0.89_with_SPY
SPY,2023-02-01,xs_momentum_top_decile,EVENT_SUPPRESSION_FOMC_d0_dec348
SPY,2023-02-01,monthly_bias_momentum_long,required_macro_regime_mismatch_neutral_got_negative_batch510b
SPY,2023-02-01,smc_bos_retest_entry,EVENT_SUPPRESSION_FOMC_d0_dec348
SPY,2023-02-01,cup_and_handle_retest_long,EVENT_SUPPRESSION_FOMC_d0_dec348
SPY,2023-02-01,totm_long,EVENT_SUPPRESSION_FOMC_d0_dec348
SPY,2023-02-01,naked_poc_retest_long,EVENT_SUPPRESSION_FOMC_d0_dec348
AAPL,2023-02-02,(any),correlation_cap_batch223_corr_0.90_with_SPY
SPY,2023-02-02,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-02,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-02,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-03,(any),correlation_cap_batch223_corr_0.87_with_SPY
SPY,2023-02-03,xs_momentum_top_decile,EVENT_SUPPRESSION_NFP_d0_dec348
SPY,2023-02-03,smc_fvg_retest_long,EVENT_SUPPRESSION_NFP_d0_dec348
SPY,2023-02-03,smc_bos_retest_entry,EVENT_SUPPRESSION_NFP_d0_dec348
SPY,2023-02-03,cup_and_handle_retest_long,EVENT_SUPPRESSION_NFP_d0_dec348
SPY,2023-02-03,naked_poc_retest_long,EVENT_SUPPRESSION_NFP_d0_dec348
SPY,2023-02-06,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-06,smc_bos_retest_entry,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-06,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-06,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-06,(any),correlation_cap_batch223_corr_0.87_with_SPY
SPY,2023-02-07,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-07,po3_bullish,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-07,monthly_bias_momentum_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-07,cpr_narrow_bullish,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-07,cpr_narrow_momentum,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-07,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-07,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-07,(any),correlation_cap_batch223_corr_0.87_with_SPY
AAPL,2023-02-08,pead_short_negative_yoy_growth,regime_affinity_block_bull_batch203
AAPL,2023-02-09,pead_short_negative_yoy_growth,regime_affinity_block_bull_batch203
AAPL,2023-02-09,pivot_r3_blowoff_short,regime_affinity_block_bull_batch203
AAPL,2023-02-10,xs_quality_top_quintile_long,regime_affinity_block_bull_batch203
AAPL,2023-02-10,donchian_breakout_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-10,dc20_break_retest,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-10,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-10,break_retest_confluence,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-10,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-10,mmbm_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-10,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-10,po3_bullish,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-10,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-10,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-10,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,monthly_bias_momentum_long,required_macro_regime_mismatch_neutral_got_negative_batch510b
SPY,2023-02-13,macd_crossover,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,macd_ichimoku,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,donchian_breakout_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,r1_break_retest,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,break_retest_confluence,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-13,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-13,xs_quality_top_quintile_long,required_macro_regime_mismatch_neutral_got_negative_batch510b
AAPL,2023-02-13,donchian_breakout_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-13,dc20_break_retest,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-13,r1_break_retest,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-13,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-13,break_retest_confluence,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-13,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-14,(same-strategy),ticker_already_open_same_strategy_bug61_mode_c
SPY,2023-02-14,xs_momentum_top_decile,EVENT_SUPPRESSION_CPI_d0_dec348
SPY,2023-02-14,institutional_cluster_long,regime_affinity_block_bull_batch203
SPY,2023-02-14,xs_momentum_with_smart_money_long,EVENT_SUPPRESSION_CPI_d0_dec348
SPY,2023-02-14,naked_poc_retest_long,EVENT_SUPPRESSION_CPI_d0_dec348
AAPL,2023-02-15,xs_quality_top_quintile_long,required_macro_regime_mismatch_neutral_got_negative_batch510b
AAPL,2023-02-15,donchian_breakout_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-15,dc20_break_retest,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-15,r1_break_retest,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-15,break_retest_volume,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-15,break_retest_confluence,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-15,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-15,xs_momentum_top_decile,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-15,cpr_narrow_bullish,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-15,cup_and_handle_retest_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-15,institutional_cluster_long,regime_affinity_block_bull_batch203
SPY,2023-02-15,xs_momentum_with_smart_money_long,portfolio_gate_ticker_already_in_portfolio
SPY,2023-02-15,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
AAPL,2023-02-16,xs_quality_top_quintile_long,required_macro_regime_mismatch_neutral_got_negative_batch510b
AAPL,2023-02-16,naked_poc_retest_long,portfolio_gate_ticker_already_in_portfolio
