strategy,regime,sector,verdict,gates_passed,n_trades,gate_1_sample_size_value,gate_1_sample_size_passed
bollinger_lower,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False
bollinger_lower,neutral,Financials,INSUFFICIENT_SAMPLE,0,4,4,False
bollinger_lower,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
bollinger_tight,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,4,4,False
bollinger_tight,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,3,3,False
bollinger_tight,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False
bollinger_tight,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,12,12,False
break_retest_confluence,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
break_retest_confluence,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
break_retest_confluence,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False
cmf_flip,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,12,12,False
cpr_narrow_bullish,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,15,15,False
cpr_narrow_bullish,neutral,Financials,INSUFFICIENT_SAMPLE,0,2,2,False
cpr_narrow_bullish,neutral,Health Care,INSUFFICIENT_SAMPLE,0,5,5,False
cpr_narrow_bullish,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,11,11,False
force_index_breakout,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
hull_rsi,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,3,3,False
hull_rsi,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,6,6,False
hull_rsi,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
hull_rsi,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,7,7,False
ichimoku_cloud_breakout,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False
ichimoku_cloud_breakout,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False
ichimoku_cloud_breakout,neutral,Health Care,INSUFFICIENT_SAMPLE,0,2,2,False
ichimoku_cloud_breakout,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False
ichimoku_tk_cross,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
macd_crossover,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
macd_crossover,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
macd_fast_crossover,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False
macd_fast_crossover,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
morning_star,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
parabolic_sar_flip,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
parabolic_sar_flip,neutral,Health Care,INSUFFICIENT_SAMPLE,0,1,1,False
pivot_r1_breakout,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
pivot_r2_continuation,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
pivot_r2_continuation,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False
ppo_crossover,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,1,1,False
stochrsi_oversold,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,3,3,False
stochrsi_oversold,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,5,5,False
stochrsi_oversold,neutral,Financials,INSUFFICIENT_SAMPLE,0,1,1,False
stochrsi_oversold,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,4,4,False
supertrend_macd,neutral,Communication Services,INSUFFICIENT_SAMPLE,0,3,3,False
supertrend_macd,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,4,4,False
supertrend_macd,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,3,3,False
three_white_soldiers,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
williams_r_oversold,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,2,2,False
williams_r_oversold,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,2,2,False
williams_stoch_dual,neutral,Consumer Discretionary,INSUFFICIENT_SAMPLE,0,1,1,False
williams_stoch_dual,neutral,Information Technology,INSUFFICIENT_SAMPLE,0,1,1,False
